central_bank_code,target_family,target_indicator_key,target_indicator,feature_indicator_key,feature_indicator,feature_category,observations,same_category,lag_score,correlation_score,pca_score,selected_lag,selection_reason,selection_score
BOC,unemployment,unemployment_rate,Unemployment Rate,cfib_business_barometer,CFIB Business Barometer,Sentiment,55,False,0.0,0.2294883677184152,0.2645266355697165,1,"correlated_with_target,pca_driver",0.17727550565098205
BOE,inflation,core_cpi_yoy,Core CPI (YoY),retail_price_index_yoy,Retail Price Index (YoY),Inflation,76,True,0.932210222605224,0.902102802362228,0.2535130341110903,3,"lag_relationship,correlated_with_target,pca_driver,same_macro_theme",0.9731523959976827
BOE,inflation,core_cpi_yoy,Core CPI (YoY),ppi_core_output_yoy,PPI Core Output (YoY),Inflation,67,True,0.8446490630319782,0.5967699941905835,0.2791065365445043,6,"lag_relationship,correlated_with_target,pca_driver,same_macro_theme",0.8347390571032409
BOE,inflation,core_cpi_yoy,Core CPI (YoY),retail_price_index_mom,Retail Price Index (MoM),Inflation,72,True,0.5359906012123743,0.3571496452302786,0.2117028743733909,6,"lag_relationship,correlated_with_target,pca_driver,same_macro_theme",0.6200960952706607
BOE,inflation,core_cpi_yoy,Core CPI (YoY),ppi_core_output_mom,PPI Core Output (MoM),Inflation,55,True,0.6136424292311969,0.244147683346074,0.2382455068684382,6,"lag_relationship,correlated_with_target,pca_driver,same_macro_theme",0.6038702241881265
BOE,inflation,core_cpi_yoy,Core CPI (YoY),core_rpi_yoy,Core RPI (YoY),Inflation,24,True,0.7764064116451265,0.1074435358341469,0.0,6,"lag_relationship,correlated_with_target,same_macro_theme",0.561615945990551
BOE,inflation,core_cpi_yoy,Core CPI (YoY),core_cpi_mom,Core CPI (MoM),Inflation,70,True,0.3325226063709967,0.2872401909943537,0.0,4,"lag_relationship,correlated_with_target,same_macro_theme",0.47330723016525467
BOE,inflation,core_cpi_yoy,Core CPI (YoY),ppi_output_mom,PPI Output (MoM),Inflation,58,True,0.4389510387204305,0.1276094846458153,0.0,6,"lag_relationship,correlated_with_target,same_macro_theme",0.45831081281793834
BOE,inflation,core_cpi_yoy,Core CPI (YoY),ppi_input_mom,PPI Input (MoM),Inflation,66,True,0.2219128129755243,0.0159585187293042,0.1596193014817409,6,"lag_relationship,correlated_with_target,pca_driver,same_macro_theme",0.3610912166800383
BOE,inflation,core_cpi_yoy,Core CPI (YoY),avg_earnings_excl_bonus,Average Earnings (excl. Bonus),Labor,74,False,0.0,0.6361674096983324,0.2915968584737229,1,"correlated_with_target,pca_driver",0.32708975168055815
BOE,inflation,core_cpi_yoy,Core CPI (YoY),unemployment_rate,Unemployment Rate,Labor,76,False,0.0,0.5562877493524584,0.2018655449434155,1,"correlated_with_target,pca_driver",0.29216615654724987
BOE,inflation,core_cpi_yoy,Core CPI (YoY),consumer_confidence,Consumer Confidence,Sentiment,76,False,0.0,0.4950075252279345,0.2538327099793193,1,"correlated_with_target,pca_driver",0.2815771640652782
BOE,inflation,core_cpi_yoy,Core CPI (YoY),retail_sales_ex_fuel_yoy,Retail Sales Ex Fuel (YoY),Growth,75,False,0.0,0.4007040680870246,0.3326698618140483,1,"correlated_with_target,pca_driver",0.2638616996982146
BOE,inflation,core_cpi_yoy,Core CPI (YoY),cbi_industrial_trends_orders,CBI Industrial Trends Orders,Sentiment,76,False,0.0,0.3881459948286498,0.2788656517782382,1,"correlated_with_target,pca_driver",0.25327364621533066
BOE,inflation,core_cpi_yoy,Core CPI (YoY),hmrc_payrolls_change,HMRC Payrolls Change,Labor,41,False,0.0,0.4047537398730301,0.3342432743865316,1,"correlated_with_target,pca_driver",0.22281261311988876
BOE,gdp_growth,gdp_yoy,GDP (YoY),industrial_production_yoy,Industrial Production (YoY),Growth,76,True,0.9296197876439972,0.9296197876439962,0.3013040413071897,0,"lag_relationship,correlated_with_target,pca_driver,same_macro_theme",0.9874104469290761
BOE,gdp_growth,gdp_yoy,GDP (YoY),retail_sales_ex_fuel_yoy,Retail Sales Ex Fuel (YoY),Growth,75,True,0.5822857269186311,0.5822857269186309,0.3326698618140483,0,"lag_relationship,correlated_with_target,pca_driver,same_macro_theme",0.7303647744610805
BOE,gdp_growth,gdp_yoy,GDP (YoY),niesr_monthly_gdp_tracker,NIESR Monthly GDP Tracker,Growth,64,True,0.4522897824343422,0.4522897824343427,0.2647667030528812,0,"lag_relationship,correlated_with_target,pca_driver,same_macro_theme",0.608932342283689
BOE,gdp_growth,gdp_yoy,GDP (YoY),public_sector_net_borrowing,Public Sector Net Borrowing,Growth,71,True,0.3144466165688308,0.3144466165688305,0.2068990089525154,0,"lag_relationship,correlated_with_target,pca_driver,same_macro_theme",0.5056198137695003
BOE,gdp_growth,gdp_yoy,GDP (YoY),composite_pmi,Composite PMI,Growth,29,True,0.4370235101654667,0.3863509024217579,0.0,2,"lag_relationship,correlated_with_target,same_macro_theme",0.4988158503009874
BOE,gdp_growth,gdp_yoy,GDP (YoY),retail_sales_ex_fuel_mom,Retail Sales Ex Fuel (MoM),Growth,75,True,0.2405182387008845,0.067863732659936,0.1733677293344962,1,"lag_relationship,correlated_with_target,pca_driver,same_macro_theme",0.39834748661355324
BOE,gdp_growth,gdp_yoy,GDP (YoY),manufacturing_pmi,Manufacturing PMI,Growth,29,True,0.390442920696547,0.0872029022938477,0.0,5,"lag_relationship,correlated_with_target,same_macro_theme",0.38811018500160044
BOE,gdp_growth,gdp_yoy,GDP (YoY),cbi_industrial_trends_orders,CBI Industrial Trends Orders,Sentiment,76,False,0.0,0.6903285200199998,0.2788656517782382,1,"correlated_with_target,pca_driver",0.3439284037727357
BOE,gdp_growth,gdp_yoy,GDP (YoY),gdp_mom,GDP (MoM),Growth,69,True,0.0,0.2468630569099692,0.216104704270708,1,"correlated_with_target,pca_driver,same_macro_theme",0.34272462271359694
BOE,gdp_growth,gdp_yoy,GDP (YoY),claimant_count_change,Claimant Count Change,Labor,76,False,0.0,0.6458550707976032,0.2600240832323665,1,"correlated_with_target,pca_driver",0.3277601337241359
BOE,gdp_growth,gdp_yoy,GDP (YoY),avg_earnings_incl_bonus,Average Earnings (incl. Bonus),Labor,75,False,0.0,0.6437238618639081,0.2454055105116915,1,"correlated_with_target,pca_driver",0.32367798513592616
BOE,gdp_growth,gdp_yoy,GDP (YoY),ppi_input_yoy,PPI Input (YoY),Inflation,68,False,0.0,0.5434789361674808,0.2980000646450012,1,"correlated_with_target,pca_driver",0.2927436905469944
BOE,gdp_growth,gdp_yoy,GDP (YoY),cbi_business_optimism,CBI Business Optimism Index,Sentiment,25,False,0.0,0.6387529913635339,0.176866111848199,1,"correlated_with_target,pca_driver",0.24940581418629001
BOE,gdp_growth,gdp_yoy,GDP (YoY),consumer_confidence,Consumer Confidence,Sentiment,76,False,0.0,0.367990854537704,0.2538327099793193,1,"correlated_with_target,pca_driver",0.24347216285820908
BOE,unemployment,unemployment_rate,Unemployment Rate,hmrc_payrolls_change,HMRC Payrolls Change,Labor,41,True,0.4590425455875842,0.3782643418787235,0.3342432743865316,2,"lag_relationship,correlated_with_target,pca_driver,same_macro_theme",0.5714349392360097
BOE,unemployment,unemployment_rate,Unemployment Rate,avg_earnings_incl_bonus,Average Earnings (incl. Bonus),Labor,75,True,0.4926398392203424,0.0326667853236918,0.2454055105116915,6,"lag_relationship,correlated_with_target,pca_driver,same_macro_theme",0.5120487898230154
BOE,unemployment,unemployment_rate,Unemployment Rate,claimant_count_change,Claimant Count Change,Labor,76,True,0.3509287339766507,0.0960747822141259,0.2600240832323665,6,"lag_relationship,correlated_with_target,pca_driver,same_macro_theme",0.47074397743858554
BOE,unemployment,unemployment_rate,Unemployment Rate,employment_change,Employment Change,Labor,76,True,0.1572178339900555,0.1035899774311395,0.0,4,"lag_relationship,correlated_with_target,same_macro_theme",0.3468250185248668
BOE,unemployment,unemployment_rate,Unemployment Rate,retail_price_index_yoy,Retail Price Index (YoY),Inflation,76,False,0.0,0.6191658332230279,0.2535130341110903,1,"correlated_with_target,pca_driver",0.3187767050835719
BOE,unemployment,unemployment_rate,Unemployment Rate,core_cpi_yoy,Core CPI (YoY),Inflation,76,False,0.0,0.5562877493524584,0.2420081755740031,1,"correlated_with_target,pca_driver",0.2981875511418379
BOE,unemployment,unemployment_rate,Unemployment Rate,consumer_confidence,Consumer Confidence,Sentiment,76,False,0.0,0.5343141542286793,0.2538327099793193,1,"correlated_with_target,pca_driver",0.2933691527655017
BOE,unemployment,unemployment_rate,Unemployment Rate,retail_sales_ex_fuel_yoy,Retail Sales Ex Fuel (YoY),Growth,75,False,0.0,0.4901345022152529,0.3326698618140483,1,"correlated_with_target,pca_driver",0.2906908299366831
BOE,unemployment,unemployment_rate,Unemployment Rate,ppi_core_output_yoy,PPI Core Output (YoY),Inflation,67,False,0.0,0.5094652644539993,0.2791065365445043,1,"correlated_with_target,pca_driver",0.27845555981787545
BOE,unemployment,unemployment_rate,Unemployment Rate,cbi_industrial_trends_orders,CBI Industrial Trends Orders,Sentiment,76,False,0.0,0.3196404556721844,0.2788656517782382,1,"correlated_with_target,pca_driver",0.23272198446839104
BOE,unemployment,unemployment_rate,Unemployment Rate,retail_price_index_mom,Retail Price Index (MoM),Inflation,72,False,0.0,0.3539125549197908,0.2117028743733909,1,"correlated_with_target,pca_driver",0.22792919763194586
BOE,unemployment,unemployment_rate,Unemployment Rate,industrial_production_yoy,Industrial Production (YoY),Growth,76,False,0.0,0.2446284799856392,0.3013040413071897,1,"correlated_with_target,pca_driver",0.2135841501917702
