central_bank_code,target_family,target_indicator_key,target_indicator,model,feature,importance
BOC,inflation,core_cpi_yoy,Core CPI (YoY),random_forest,manufacturing_pmi_lag3,0.00017666317862862383
BOC,inflation,core_cpi_yoy,Core CPI (YoY),random_forest,unemployment_rate_ma6,0.00016402656003038535
BOC,inflation,core_cpi_yoy,Core CPI (YoY),random_forest,retail_sales_yoy_lag1,0.0001556321920379066
BOC,inflation,core_cpi_yoy,Core CPI (YoY),random_forest,budget_balance_lag6,0.00015095347309007436
BOC,inflation,core_cpi_yoy,Core CPI (YoY),random_forest,core_cpi_mom_lag3,0.0001462490713918965
BOC,inflation,core_cpi_yoy,Core CPI (YoY),random_forest,new_housing_price_index_yoy_ma3,0.0001272490214229537
BOC,inflation,core_cpi_yoy,Core CPI (YoY),random_forest,manufacturing_pmi_ma3,0.0001215292218768531
BOC,inflation,core_cpi_yoy,Core CPI (YoY),random_forest,cpi_headline_mom_lag6,0.00010573585967858762
BOC,inflation,core_cpi_yoy,Core CPI (YoY),random_forest,cfib_business_barometer_lag1,9.370473777429444e-05
BOC,inflation,core_cpi_yoy,Core CPI (YoY),random_forest,unemployment_rate_lag3,8.907444615816196e-05
BOC,inflation,core_cpi_yoy,Core CPI (YoY),random_forest,budget_balance_lag3,8.589275556256103e-05
BOC,inflation,core_cpi_yoy,Core CPI (YoY),random_forest,manufacturing_pmi_ma6,7.899490378161222e-05
BOC,inflation,core_cpi_yoy,Core CPI (YoY),random_forest,core_cpi_mom_ma3,7.33649101778203e-05
BOC,inflation,core_cpi_yoy,Core CPI (YoY),random_forest,cfib_business_barometer_ma6,7.291720054724939e-05
BOC,inflation,core_cpi_yoy,Core CPI (YoY),random_forest,ppi_mom_lag1,6.733909344758128e-05
BOC,inflation,core_cpi_yoy,Core CPI (YoY),random_forest,cfib_business_barometer_lag6,6.668860861560882e-05
BOC,inflation,core_cpi_yoy,Core CPI (YoY),random_forest,target_ma3,5.85100740595862e-05
BOC,inflation,core_cpi_yoy,Core CPI (YoY),random_forest,raw_materials_prices_mom_ma3,2.6045586027938472e-05
BOC,inflation,core_cpi_yoy,Core CPI (YoY),random_forest,core_cpi_mom_lag1,2.259159972486116e-05
BOC,inflation,core_cpi_yoy,Core CPI (YoY),random_forest,manufacturing_pmi_lag6,1.0839717580417921e-05
BOC,inflation,core_cpi_yoy,Core CPI (YoY),random_forest,core_cpi_mom_lag6,0.0
