central_bank_code,target_family,target_indicator_key,target_indicator,model,feature,scenario,baseline_prediction,scenario_prediction,prediction_delta
SNB,gdp_growth,gdp_qoq,GDP (QoQ),random_forest,retail_sales_mom_ma6,stress_2sd,-0.009560162443128987,-0.006363838109984123,0.0031963243331448645
SNB,gdp_growth,gdp_qoq,GDP (QoQ),random_forest,retail_sales_yoy_lag1,positive_1sd,-0.009560162443128987,-0.007840364255422075,0.0017197981877069123
SNB,gdp_growth,gdp_qoq,GDP (QoQ),random_forest,retail_sales_yoy_lag1,negative_1sd,-0.009560162443128987,-0.009560162443128987,0.0
SNB,gdp_growth,gdp_qoq,GDP (QoQ),random_forest,retail_sales_yoy_lag1,stress_2sd,-0.009560162443128987,-0.007840364255422075,0.0017197981877069123
SNB,gdp_growth,gdp_qoq,GDP (QoQ),random_forest,retail_sales_yoy_lag3,positive_1sd,-0.009560162443128987,-0.009560162443128987,0.0
SNB,gdp_growth,gdp_qoq,GDP (QoQ),random_forest,retail_sales_yoy_lag3,negative_1sd,-0.009560162443128987,-0.01085664796998298,-0.0012964855268539927
SNB,gdp_growth,gdp_qoq,GDP (QoQ),random_forest,retail_sales_yoy_lag3,stress_2sd,-0.009560162443128987,-0.009560162443128987,0.0
SNB,gdp_growth,gdp_qoq,GDP (QoQ),random_forest,retail_sales_yoy_lag6,positive_1sd,-0.009560162443128987,-0.009560162443128987,0.0
SNB,gdp_growth,gdp_qoq,GDP (QoQ),random_forest,retail_sales_yoy_lag6,negative_1sd,-0.009560162443128987,-0.010098514462594544,-0.0005383520194655565
SNB,gdp_growth,gdp_qoq,GDP (QoQ),random_forest,retail_sales_yoy_lag6,stress_2sd,-0.009560162443128987,-0.009560162443128987,0.0
SNB,gdp_growth,gdp_qoq,GDP (QoQ),random_forest,retail_sales_yoy_ma3,positive_1sd,-0.009560162443128987,-0.004368106355814747,0.0051920560873142405
SNB,gdp_growth,gdp_qoq,GDP (QoQ),random_forest,retail_sales_yoy_ma3,negative_1sd,-0.009560162443128987,-9.395172428381254e-05,0.009466210718845175
