central_bank_code,target_family,target_indicator_key,target_indicator,model,split,observations,rmse,mae,mape_pct
BOJ,gdp_growth,gdp_qoq,GDP (QoQ),random_forest,validation,12,0.08389082580380451,0.07441292660529543,120.8120563015394
BOJ,gdp_growth,gdp_qoq,GDP (QoQ),random_forest,test,12,0.31599088260132,0.15094620603103123,302.53208741491903
BOJ,gdp_growth,gdp_qoq,GDP (QoQ),hist_gradient_boosting,validation,12,0.2744572836356769,0.2257639900477605,996.2876932372322
BOJ,gdp_growth,gdp_qoq,GDP (QoQ),hist_gradient_boosting,test,12,0.5019137958790892,0.4266685370927556,856.5504323586753
BOJ,unemployment,unemployment_rate,Unemployment Rate,persistence_baseline,validation,12,0.6168229482784101,0.5057279488918659,73.1755604288499
BOJ,unemployment,unemployment_rate,Unemployment Rate,persistence_baseline,test,12,0.6168229482784099,0.321826876567551,135.70299393470134
BOJ,unemployment,unemployment_rate,Unemployment Rate,ridge,validation,12,0.8808124820024914,0.7451126576083172,101.61477168264146
BOJ,unemployment,unemployment_rate,Unemployment Rate,ridge,test,12,0.8558436274209519,0.5891304161590659,182.77402726452746
BOJ,unemployment,unemployment_rate,Unemployment Rate,random_forest,validation,12,0.42603409044329993,0.33665811262680617,59.788965488478375
BOJ,unemployment,unemployment_rate,Unemployment Rate,random_forest,test,12,0.606969556454602,0.5378244820398451,239.64883725775744
BOJ,unemployment,unemployment_rate,Unemployment Rate,hist_gradient_boosting,validation,12,0.38835550885881404,0.30675615570308684,50.821344244940306
BOJ,unemployment,unemployment_rate,Unemployment Rate,hist_gradient_boosting,test,12,0.6630338449894276,0.563393681020184,282.76256312049514
ECB,inflation,core_cpi_yoy,Core HICP (YoY),persistence_baseline,validation,12,0.084341847199511,0.054442428265346114,241.79168890804706
ECB,inflation,core_cpi_yoy,Core HICP (YoY),persistence_baseline,test,12,0.0923918645056522,0.054442428265346114,23.5310094191869
ECB,inflation,core_cpi_yoy,Core HICP (YoY),ridge,validation,12,0.5567302891332163,0.5136219179215152,2330.680839456978
ECB,inflation,core_cpi_yoy,Core HICP (YoY),ridge,test,12,0.9107256916472455,0.8325569306049222,369.07582736489815
ECB,inflation,core_cpi_yoy,Core HICP (YoY),random_forest,validation,12,0.08767362575156333,0.07115001324396418,202.5117953850605
ECB,inflation,core_cpi_yoy,Core HICP (YoY),random_forest,test,12,0.13473085156638936,0.10888350967130726,43.50140935768243
ECB,inflation,core_cpi_yoy,Core HICP (YoY),hist_gradient_boosting,validation,12,0.15655395500345326,0.13602168814155205,619.2346469513587
ECB,inflation,core_cpi_yoy,Core HICP (YoY),hist_gradient_boosting,test,12,0.34974979337444523,0.3418552484248704,150.0444703544348
ECB,gdp_growth,gdp_qoq,GDP (QoQ),persistence_baseline,validation,12,0.03128860425887443,0.029053703954669118,156.33144505435243
ECB,gdp_growth,gdp_qoq,GDP (QoQ),persistence_baseline,test,12,0.00893960121682125,0.004469800608410625,41.616161616161705
ECB,gdp_growth,gdp_qoq,GDP (QoQ),ridge,validation,12,0.652661494014513,0.5510499889977128,2482.4257737433722
ECB,gdp_growth,gdp_qoq,GDP (QoQ),ridge,test,12,0.6429131482503874,0.5291314671620808,2529.898271789014
ECB,gdp_growth,gdp_qoq,GDP (QoQ),random_forest,validation,12,0.043140844802190395,0.03774465934404309,193.19065373749706
ECB,gdp_growth,gdp_qoq,GDP (QoQ),random_forest,test,12,0.05936607611106053,0.05411699664114397,258.706684157594
ECB,gdp_growth,gdp_qoq,GDP (QoQ),hist_gradient_boosting,validation,12,0.23456388568005684,0.20322283068723668,1844.1390220360115
ECB,gdp_growth,gdp_qoq,GDP (QoQ),hist_gradient_boosting,test,12,0.2933520253421593,0.24150504542718984,1235.7798347511307
ECB,unemployment,unemployment_rate,Unemployment Rate,persistence_baseline,validation,12,0.1039452841816456,0.07350041531720437,8.99296143499755
ECB,unemployment,unemployment_rate,Unemployment Rate,persistence_baseline,test,12,0.12002567560653049,0.09800055375627252,10.905092430065832
ECB,unemployment,unemployment_rate,Unemployment Rate,ridge,validation,12,0.45619046957145165,0.3973096362678621,47.682886462170075
ECB,unemployment,unemployment_rate,Unemployment Rate,ridge,test,12,0.5873594102788893,0.5014526936265633,57.11501584973392
ECB,unemployment,unemployment_rate,Unemployment Rate,random_forest,validation,12,0.37695125916566585,0.335693901271773,37.18827048456768
ECB,unemployment,unemployment_rate,Unemployment Rate,random_forest,test,12,0.5208962913124274,0.5088451893295383,54.14113076170278
ECB,unemployment,unemployment_rate,Unemployment Rate,hist_gradient_boosting,validation,12,0.42774505038920535,0.3987302215182331,45.81086772403144
ECB,unemployment,unemployment_rate,Unemployment Rate,hist_gradient_boosting,test,12,0.8468249616250577,0.8097421942791693,86.79829236930607
FED,inflation,core_cpi_yoy,Core CPI (YoY),persistence_baseline,validation,12,0.052686223430099696,0.040114604946880406,16.521285962060517
FED,inflation,core_cpi_yoy,Core CPI (YoY),persistence_baseline,test,12,0.025568144175526105,0.020057302473440192,3.291947903944773
FED,inflation,core_cpi_yoy,Core CPI (YoY),ridge,validation,12,0.6212196052505852,0.5029278429987531,172.81648966160728
FED,inflation,core_cpi_yoy,Core CPI (YoY),ridge,test,12,1.157214489421835,1.0991422189249442,188.78782288219597
FED,inflation,core_cpi_yoy,Core CPI (YoY),random_forest,validation,12,0.2081105709660887,0.1740371166943866,69.85998642368263
FED,inflation,core_cpi_yoy,Core CPI (YoY),random_forest,test,12,0.39231776001486135,0.3421899756155695,59.11687003682996
FED,inflation,core_cpi_yoy,Core CPI (YoY),hist_gradient_boosting,validation,12,0.23094680798944564,0.17507961315269135,55.87460073558654
FED,inflation,core_cpi_yoy,Core CPI (YoY),hist_gradient_boosting,test,12,0.6509489831630124,0.6072994882545375,98.29612403115527
FED,gdp_growth,retail_sales_mom,Retail Sales (MoM),persistence_baseline,validation,12,0.032908100150634965,0.027197705819807794,153.75105039179607
FED,gdp_growth,retail_sales_mom,Retail Sales (MoM),persistence_baseline,test,12,0.11284043752735114,0.0834062978474106,200.66234019720875
FED,gdp_growth,retail_sales_mom,Retail Sales (MoM),ridge,validation,12,0.6989383275753246,0.6415718516572119,3579.5911361435933
FED,gdp_growth,retail_sales_mom,Retail Sales (MoM),ridge,test,12,0.5912497270420326,0.5005748983541055,3203.030565300744
FED,gdp_growth,retail_sales_mom,Retail Sales (MoM),random_forest,validation,12,0.06590943135950153,0.05998274512224269,524.7780765559095
FED,gdp_growth,retail_sales_mom,Retail Sales (MoM),random_forest,test,12,0.1329861864989537,0.11612174610480401,353.13885730509213
FED,gdp_growth,retail_sales_mom,Retail Sales (MoM),hist_gradient_boosting,validation,12,0.5222097779927533,0.46240972607453196,2198.1644069540243
FED,gdp_growth,retail_sales_mom,Retail Sales (MoM),hist_gradient_boosting,test,12,0.35121866511911015,0.29420856382491395,1715.3959664924112
FED,unemployment,unemployment_rate,Unemployment Rate,persistence_baseline,validation,12,0.01734349781635957,0.01012642105357769,2.832555383330351
FED,unemployment,unemployment_rate,Unemployment Rate,persistence_baseline,test,12,0.03604019666735546,0.030379263160733083,13.406711478838615
