weight_id,country_code,currency_code,macro_theme,headline_target_type,headline_indicator_id,headline_indicator_key,candidate_indicator_id,candidate_indicator_key,candidate_indicator_name,lag_months,observation_pairs,correlation,abs_correlation,sample_adjustment,multicollinearity_penalty,raw_weight,assigned_weight,signal_direction,confidence_bucket,processed_at
48,EU,EUR,Inflation,CPI,88,cpi_headline_yoy,89,core_cpi_yoy,Core HICP (YoY),5,247,0.503680,0.503680,1.000000,1.000000,0.503680,0.132200,1.000000,medium,2026-04-24T19:46:38.494302+00:00
49,EU,EUR,Inflation,CPI,88,cpi_headline_yoy,90,unemployment_rate,Unemployment Rate,5,130,-0.401232,0.401232,1.000000,1.000000,0.401232,0.105311,-1.000000,medium,2026-04-24T19:46:38.494302+00:00
50,EU,EUR,Inflation,CPI,187,cpi_headline_mom,91,gdp_qoq,GDP (QoQ),5,105,-0.410129,0.410129,1.000000,1.000000,0.410129,0.107646,-1.000000,medium,2026-04-24T19:46:38.494302+00:00
51,EU,EUR,Inflation,CPI,88,cpi_headline_yoy,93,construction_output_mom,Construction Output (MoM),5,26,0.620410,0.620410,1.000000,1.000000,0.620410,0.162838,1.000000,medium,2026-04-24T19:46:38.494302+00:00
52,EU,EUR,Inflation,CPI,88,cpi_headline_yoy,97,manufacturing_pmi,Manufacturing PMI,4,207,-0.409074,0.409074,1.000000,1.000000,0.409074,0.107369,-1.000000,medium,2026-04-24T19:46:38.494302+00:00
53,EU,EUR,Inflation,CPI,88,cpi_headline_yoy,98,services_pmi,Services PMI,4,40,-0.442574,0.442574,1.000000,0.650000,0.287673,0.075505,-1.000000,medium,2026-04-24T19:46:38.494302+00:00
54,EU,EUR,Inflation,CPI,88,cpi_headline_yoy,99,composite_pmi,Composite PMI,4,40,-0.460976,0.460976,1.000000,0.650000,0.299634,0.078645,-1.000000,medium,2026-04-24T19:46:38.494302+00:00
55,EU,EUR,Inflation,CPI,187,cpi_headline_mom,188,cpi_index,Consumer Price Index,0,125,0.424674,0.424674,1.000000,1.000000,0.424674,0.111464,1.000000,medium,2026-04-24T19:46:38.494302+00:00
56,EU,EUR,Inflation,CPI,187,cpi_headline_mom,190,consumer_inflation_expectation,Consumer Inflation Expectation,0,126,0.453470,0.453470,1.000000,1.000000,0.453470,0.119022,1.000000,medium,2026-04-24T19:46:38.494302+00:00
57,JP,JPY,Growth,GDP,104,gdp_qoq,105,tertiary_industry_index_mom,Tertiary Industry Index (MoM),1,43,0.616658,0.616658,1.000000,1.000000,0.616658,0.047908,1.000000,medium,2026-04-24T19:46:38.494302+00:00
58,JP,JPY,Growth,GDP,104,gdp_qoq,108,exports_yoy,Exports (YoY),3,41,-0.466019,0.466019,1.000000,1.000000,0.466019,0.036205,-1.000000,medium,2026-04-24T19:46:38.494302+00:00
59,JP,JPY,Growth,GDP,104,gdp_qoq,109,imports_yoy,Imports (YoY),5,41,-0.674541,0.674541,1.000000,1.000000,0.674541,0.052405,-1.000000,medium,2026-04-24T19:46:38.494302+00:00
60,JP,JPY,Growth,GDP,104,gdp_qoq,111,services_pmi,S&P Global Services PMI,1,86,0.442060,0.442060,1.000000,0.650000,0.287339,0.022324,1.000000,medium,2026-04-24T19:46:38.494302+00:00
61,JP,JPY,Growth,GDP,104,gdp_qoq,112,composite_pmi,S&P Global Composite PMI,1,85,0.506425,0.506425,1.000000,0.650000,0.329176,0.025574,1.000000,medium,2026-04-24T19:46:38.494302+00:00
62,JP,JPY,Growth,GDP,104,gdp_qoq,192,industrial_production_mom,Industrial Production (MoM),1,107,0.543302,0.543302,1.000000,1.000000,0.543302,0.042209,1.000000,medium,2026-04-24T19:46:38.494302+00:00
63,JP,JPY,Growth,GDP,104,gdp_qoq,193,industrial_production_yoy,Industrial Production (YoY),0,90,0.510327,0.510327,1.000000,1.000000,0.510327,0.039648,1.000000,medium,2026-04-24T19:46:38.494302+00:00
64,JP,JPY,Growth,GDP,104,gdp_qoq,194,leading_economic_index,Leading Economic Index,4,85,-0.576094,0.576094,1.000000,1.000000,0.576094,0.044757,-1.000000,high,2026-04-24T19:46:38.494302+00:00
65,JP,JPY,Growth,GDP,104,gdp_qoq,196,machine_tool_orders_yoy,Machine Tool Orders (YoY),0,43,0.432163,0.432163,1.000000,1.000000,0.432163,0.033575,1.000000,medium,2026-04-24T19:46:38.494302+00:00
66,JP,JPY,Growth,GDP,104,gdp_qoq,251,current_account,Current Account,2,43,-0.429613,0.429613,1.000000,1.000000,0.429613,0.033377,-1.000000,medium,2026-04-24T19:46:38.494302+00:00
67,JP,JPY,Growth,GDP,104,gdp_qoq,258,capacity_utilization,Capacity Utilization,3,41,-0.774757,0.774757,1.000000,1.000000,0.774757,0.060191,-1.000000,medium,2026-04-24T19:46:38.494302+00:00
68,JP,JPY,Growth,GDP,104,gdp_qoq,259,machinery_orders_mom,Machinery Orders (MoM),0,45,0.526714,0.526714,1.000000,1.000000,0.526714,0.040921,1.000000,medium,2026-04-24T19:46:38.494302+00:00
69,JP,JPY,Growth,GDP,104,gdp_qoq,260,machinery_orders_yoy,Machinery Orders (YoY),0,45,0.514650,0.514650,1.000000,1.000000,0.514650,0.039983,1.000000,medium,2026-04-24T19:46:38.494302+00:00
70,JP,JPY,Growth,GDP,104,gdp_qoq,261,household_spending_mom,Household Spending (MoM),1,43,0.623333,0.623333,1.000000,1.000000,0.623333,0.048427,1.000000,medium,2026-04-24T19:46:38.494302+00:00
71,JP,JPY,Growth,GDP,104,gdp_qoq,262,household_spending_yoy,Household Spending (YoY),2,43,-0.537276,0.537276,1.000000,1.000000,0.537276,0.041741,-1.000000,medium,2026-04-24T19:46:38.494302+00:00
72,JP,JPY,Growth,GDP,104,gdp_qoq,263,retail_sales_mom,Retail Sales (MoM),1,43,0.817202,0.817202,1.000000,1.000000,0.817202,0.063489,1.000000,medium,2026-04-24T19:46:38.494302+00:00
73,JP,JPY,Growth,GDP,104,gdp_qoq,264,retail_sales_yoy,Retail Sales (YoY),0,43,0.547309,0.547309,1.000000,1.000000,0.547309,0.042521,1.000000,medium,2026-04-24T19:46:38.494302+00:00
74,JP,JPY,Growth,GDP,104,gdp_qoq,265,consumer_confidence,Consumer Confidence,1,43,0.759006,0.759006,1.000000,1.000000,0.759006,0.058968,1.000000,medium,2026-04-24T19:46:38.494302+00:00
75,JP,JPY,Growth,GDP,104,gdp_qoq,266,eco_watchers_current,Eco Watchers Survey Current,5,41,-0.649137,0.649137,1.000000,0.650000,0.421939,0.032781,-1.000000,medium,2026-04-24T19:46:38.494302+00:00
76,JP,JPY,Growth,GDP,104,gdp_qoq,267,eco_watchers_outlook,Eco Watchers Survey Outlook,2,43,0.668583,0.668583,1.000000,0.650000,0.434579,0.033763,1.000000,medium,2026-04-24T19:46:38.494302+00:00
77,JP,JPY,Growth,GDP,104,gdp_qoq,268,reuters_tankan_index,Reuters Tankan Index,4,41,-0.757033,0.757033,1.000000,1.000000,0.757033,0.058814,-1.000000,medium,2026-04-24T19:46:38.494302+00:00
78,JP,JPY,Growth,GDP,104,gdp_qoq,270,tankan_large_all_industry_capex,Tankan Large All Industry Capex,6,37,0.418004,0.418004,1.000000,1.000000,0.418004,0.032475,1.000000,medium,2026-04-24T19:46:38.494302+00:00
79,JP,JPY,Growth,GDP,104,gdp_qoq,272,tankan_large_non_manufacturing_index,Tankan Large Non-Manufacturing Index,0,41,-0.423726,0.423726,1.000000,1.000000,0.423726,0.032919,-1.000000,medium,2026-04-24T19:46:38.494302+00:00
80,JP,JPY,Growth,GDP,104,gdp_qoq,274,tankan_small_manufacturers_index,Tankan Small Manufacturers Index,6,36,0.450832,0.450832,1.000000,1.000000,0.450832,0.035025,1.000000,medium,2026-04-24T19:46:38.494302+00:00
