component_id,index_date,country_code,currency_code,macro_theme,headline_target_type,candidate_indicator_id,candidate_indicator_key,feature_release_timestamp_utc,normalized_signal,directional_signal,assigned_weight,weighted_signal,observation_pairs,abs_correlation,component_available,processed_at
24,2020-01-09,EU,EUR,Growth,GDP,97,manufacturing_pmi,2020-01-02T09:00:00+00:00,,,0.171621,,90,0.438019,False,2026-04-21T08:13:09.357652+00:00
25,2020-01-09,EU,EUR,Growth,GDP,189,economic_sentiment,2020-01-08T10:00:00+00:00,,,0.254933,,64,0.650649,False,2026-04-21T08:13:09.357652+00:00
26,2020-01-09,EU,EUR,Inflation,CPI,89,core_cpi_yoy,2020-01-07T10:00:00+00:00,,,0.132642,,247,0.503680,False,2026-04-21T08:13:09.357652+00:00
27,2020-01-09,EU,EUR,Inflation,CPI,90,unemployment_rate,2020-01-09T10:00:00+00:00,,,0.105662,,130,0.401232,False,2026-04-21T08:13:09.357652+00:00
28,2020-01-09,EU,EUR,Inflation,CPI,97,manufacturing_pmi,2020-01-02T09:00:00+00:00,,,0.107728,,207,0.409074,False,2026-04-21T08:13:09.357652+00:00
29,2020-01-09,EU,EUR,Inflation,CPI,190,consumer_inflation_expectation,2020-01-08T10:00:00+00:00,,,0.116080,,128,0.440792,False,2026-04-21T08:13:09.357652+00:00
30,2020-01-10,AU,AUD,Inflation,CPI,199,retail_sales_mom,2020-01-10T00:30:00+00:00,,,0.190298,,36,0.524058,False,2026-04-21T08:13:09.357652+00:00
31,2020-01-10,CA,CAD,Growth,GDP,213,imports,2020-01-07T13:30:00+00:00,,,0.163386,,58,0.714797,False,2026-04-21T08:13:09.357652+00:00
32,2020-01-10,CA,CAD,Growth,GDP,214,exports,2020-01-07T13:30:00+00:00,,,0.139590,,58,0.610694,False,2026-04-21T08:13:09.357652+00:00
33,2020-01-10,CA,CAD,Inflation,CPI,165,ppi_yoy,2020-01-06T13:30:00+00:00,,,0.225747,,27,0.610777,False,2026-04-21T08:13:09.357652+00:00
34,2020-01-10,CA,CAD,Labor,UNEMPLOYMENT,155,employment_change,2020-01-10T13:30:00+00:00,,,0.134200,,72,0.463277,False,2026-04-21T08:13:09.357652+00:00
35,2020-01-10,CA,CAD,Labor,UNEMPLOYMENT,156,full_time_employment_change,2020-01-10T13:30:00+00:00,,,0.131813,,72,0.455037,False,2026-04-21T08:13:09.357652+00:00
36,2020-01-10,CA,CAD,Labor,UNEMPLOYMENT,157,part_time_employment_change,2020-01-10T13:30:00+00:00,,,0.132858,,72,0.458645,False,2026-04-21T08:13:09.357652+00:00
37,2020-01-10,CA,CAD,Labor,UNEMPLOYMENT,213,imports,2020-01-07T13:30:00+00:00,,,0.252861,,73,0.567393,False,2026-04-21T08:13:09.357652+00:00
38,2020-01-10,CH,CHF,Inflation,CPI,173,unemployment_rate,2020-01-10T06:45:00+00:00,,,1.000000,,66,0.470027,False,2026-04-21T08:13:09.357652+00:00
39,2020-01-10,JP,JPY,Growth,GDP,111,services_pmi,2020-01-07T00:30:00+00:00,,,0.065217,,86,0.445091,False,2026-04-21T08:13:09.357652+00:00
40,2020-01-10,JP,JPY,Growth,GDP,112,composite_pmi,2020-01-07T00:30:00+00:00,,,0.074204,,85,0.506425,False,2026-04-21T08:13:09.357652+00:00
41,2020-01-10,JP,JPY,Growth,GDP,194,leading_economic_index,2020-01-10T05:00:00+00:00,,,0.129534,,86,0.574630,False,2026-04-21T08:13:09.357652+00:00
42,2020-01-13,AU,AUD,Inflation,CPI,199,retail_sales_mom,2020-01-10T00:30:00+00:00,,,0.190298,,36,0.524058,False,2026-04-21T08:13:09.357652+00:00
43,2020-01-13,AU,AUD,Inflation,CPI,201,td_mi_inflation_gauge_mom,2020-01-13T00:00:00+00:00,,,0.172911,,28,0.476178,False,2026-04-21T08:13:09.357652+00:00
44,2020-01-13,NZ,NZD,Inflation,CPI,147,business_confidence,2020-01-13T21:00:00+00:00,,,0.483506,,26,0.424822,False,2026-04-21T08:13:09.357652+00:00
45,2020-01-13,NZ,NZD,Inflation,CPI,148,capacity_utilization,2020-01-13T21:00:00+00:00,,,0.516494,,24,0.453807,False,2026-04-21T08:13:09.357652+00:00
46,2020-01-13,UK,GBP,Growth,GDP,58,gdp_mom,2020-01-13T09:30:00+00:00,,,0.103828,,38,0.897497,False,2026-04-21T08:13:09.357652+00:00
47,2020-01-13,UK,GBP,Growth,GDP,59,gdp_yoy,2020-01-13T09:30:00+00:00,,,0.088593,,38,0.765807,False,2026-04-21T08:13:09.357652+00:00
48,2020-01-13,UK,GBP,Growth,GDP,65,industrial_production_yoy,2020-01-13T09:30:00+00:00,,,0.068080,,44,0.588490,False,2026-04-21T08:13:09.357652+00:00
49,2020-01-13,UK,GBP,Growth,GDP,80,house_price_index_yoy,2020-01-08T08:30:00+00:00,,,0.095402,,49,0.824663,False,2026-04-21T08:13:09.357652+00:00
50,2020-01-13,UK,GBP,Growth,GDP,186,house_price_index_mom,2020-01-08T08:30:00+00:00,,,0.065310,,47,0.564546,False,2026-04-21T08:13:09.357652+00:00
51,2020-01-15,JP,JPY,Growth,GDP,111,services_pmi,2020-01-07T00:30:00+00:00,,,0.065217,,86,0.445091,False,2026-04-21T08:13:09.357652+00:00
52,2020-01-15,JP,JPY,Growth,GDP,112,composite_pmi,2020-01-07T00:30:00+00:00,,,0.074204,,85,0.506425,False,2026-04-21T08:13:09.357652+00:00
53,2020-01-15,JP,JPY,Growth,GDP,194,leading_economic_index,2020-01-10T05:00:00+00:00,,,0.129534,,86,0.574630,False,2026-04-21T08:13:09.357652+00:00
54,2020-01-15,JP,JPY,Growth,GDP,196,machine_tool_orders_yoy,2020-01-15T06:00:00+00:00,,,0.097419,,43,0.432163,False,2026-04-21T08:13:09.357652+00:00
55,2020-01-15,JP,JPY,Inflation,CPI,196,machine_tool_orders_yoy,2020-01-15T06:00:00+00:00,,,0.400614,,67,0.435637,False,2026-04-21T08:13:09.357652+00:00
56,2020-01-15,UK,GBP,Growth,GDP,58,gdp_mom,2020-01-13T09:30:00+00:00,,,0.103828,,38,0.897497,False,2026-04-21T08:13:09.357652+00:00
57,2020-01-15,UK,GBP,Growth,GDP,59,gdp_yoy,2020-01-13T09:30:00+00:00,,,0.088593,,38,0.765807,False,2026-04-21T08:13:09.357652+00:00
58,2020-01-15,UK,GBP,Growth,GDP,65,industrial_production_yoy,2020-01-13T09:30:00+00:00,,,0.068080,,44,0.588490,False,2026-04-21T08:13:09.357652+00:00
59,2020-01-15,UK,GBP,Growth,GDP,80,house_price_index_yoy,2020-01-08T08:30:00+00:00,,,0.095402,,49,0.824663,False,2026-04-21T08:13:09.357652+00:00
60,2020-01-15,UK,GBP,Growth,GDP,186,house_price_index_mom,2020-01-08T08:30:00+00:00,,,0.065310,,47,0.564546,False,2026-04-21T08:13:09.357652+00:00
61,2020-01-15,UK,GBP,Inflation,CPI,48,core_cpi_yoy,2020-01-15T09:30:00+00:00,,,0.092713,,68,0.518707,False,2026-04-21T08:13:09.357652+00:00
62,2020-01-15,UK,GBP,Inflation,CPI,49,cpi_headline_yoy,2020-01-15T09:30:00+00:00,,,0.051219,,73,0.440855,False,2026-04-21T08:13:09.357652+00:00
63,2020-01-15,UK,GBP,Inflation,CPI,51,ppi_output_yoy,2020-01-15T09:30:00+00:00,,,0.072136,,55,0.403585,False,2026-04-21T08:13:09.357652+00:00
64,2020-01-15,UK,GBP,Inflation,CPI,74,ppi_core_output_mom,2020-01-15T09:30:00+00:00,,,0.073206,,48,0.409570,False,2026-04-21T08:13:09.357652+00:00
65,2020-01-15,UK,GBP,Inflation,CPI,75,ppi_core_output_yoy,2020-01-15T09:30:00+00:00,,,0.075101,,54,0.420175,False,2026-04-21T08:13:09.357652+00:00
66,2020-01-15,UK,GBP,Inflation,CPI,76,ppi_input_mom,2020-01-15T09:30:00+00:00,,,0.089229,,59,0.499213,False,2026-04-21T08:13:09.357652+00:00
67,2020-01-15,UK,GBP,Inflation,CPI,78,retail_price_index_mom,2020-01-15T09:30:00+00:00,,,0.091848,,65,0.790565,False,2026-04-21T08:13:09.357652+00:00
68,2020-01-15,UK,GBP,Inflation,CPI,79,retail_price_index_yoy,2020-01-15T09:30:00+00:00,,,0.053455,,70,0.460104,False,2026-04-21T08:13:09.357652+00:00
69,2020-01-16,JP,JPY,Growth,GDP,111,services_pmi,2020-01-07T00:30:00+00:00,,,0.065217,,86,0.445091,False,2026-04-21T08:13:09.357652+00:00
70,2020-01-16,JP,JPY,Growth,GDP,112,composite_pmi,2020-01-07T00:30:00+00:00,,,0.074204,,85,0.506425,False,2026-04-21T08:13:09.357652+00:00
71,2020-01-16,JP,JPY,Growth,GDP,194,leading_economic_index,2020-01-10T05:00:00+00:00,,,0.129534,,86,0.574630,False,2026-04-21T08:13:09.357652+00:00
72,2020-01-16,JP,JPY,Growth,GDP,196,machine_tool_orders_yoy,2020-01-15T06:00:00+00:00,,,0.097419,,43,0.432163,False,2026-04-21T08:13:09.357652+00:00
73,2020-01-16,JP,JPY,Inflation,CPI,196,machine_tool_orders_yoy,2020-01-15T06:00:00+00:00,,,0.400614,,67,0.435637,False,2026-04-21T08:13:09.357652+00:00
74,2020-01-17,EU,EUR,Growth,GDP,94,construction_output_yoy,2020-01-17T10:00:00+00:00,,,0.184660,,52,0.471297,False,2026-04-21T08:13:09.357652+00:00
75,2020-01-17,EU,EUR,Growth,GDP,96,consumer_confidence,2020-01-08T10:00:00+00:00,,,0.159518,,98,0.407127,False,2026-04-21T08:13:09.357652+00:00
76,2020-01-17,EU,EUR,Growth,GDP,97,manufacturing_pmi,2020-01-02T09:00:00+00:00,,,0.171621,,90,0.438019,False,2026-04-21T08:13:09.357652+00:00
77,2020-01-17,EU,EUR,Growth,GDP,189,economic_sentiment,2020-01-08T10:00:00+00:00,,,0.254933,,64,0.650649,False,2026-04-21T08:13:09.357652+00:00
78,2020-01-17,EU,EUR,Inflation,CPI,89,core_cpi_yoy,2020-01-17T10:00:00+00:00,0.000000,0.000000,0.132642,0.000000,247,0.503680,True,2026-04-21T08:13:09.357652+00:00
79,2020-01-17,EU,EUR,Inflation,CPI,90,unemployment_rate,2020-01-09T10:00:00+00:00,,,0.105662,,130,0.401232,False,2026-04-21T08:13:09.357652+00:00
80,2020-01-17,EU,EUR,Inflation,CPI,97,manufacturing_pmi,2020-01-02T09:00:00+00:00,,,0.107728,,207,0.409074,False,2026-04-21T08:13:09.357652+00:00
81,2020-01-17,EU,EUR,Inflation,CPI,190,consumer_inflation_expectation,2020-01-08T10:00:00+00:00,,,0.116080,,128,0.440792,False,2026-04-21T08:13:09.357652+00:00
82,2020-01-17,JP,JPY,Growth,GDP,105,tertiary_industry_index_mom,2020-01-17T04:30:00+00:00,,,0.139008,,43,0.616658,False,2026-04-21T08:13:09.357652+00:00
83,2020-01-17,JP,JPY,Growth,GDP,111,services_pmi,2020-01-07T00:30:00+00:00,,,0.065217,,86,0.445091,False,2026-04-21T08:13:09.357652+00:00
84,2020-01-17,JP,JPY,Growth,GDP,112,composite_pmi,2020-01-07T00:30:00+00:00,,,0.074204,,85,0.506425,False,2026-04-21T08:13:09.357652+00:00
85,2020-01-17,JP,JPY,Growth,GDP,194,leading_economic_index,2020-01-10T05:00:00+00:00,,,0.129534,,86,0.574630,False,2026-04-21T08:13:09.357652+00:00
86,2020-01-17,JP,JPY,Growth,GDP,196,machine_tool_orders_yoy,2020-01-15T06:00:00+00:00,,,0.097419,,43,0.432163,False,2026-04-21T08:13:09.357652+00:00
87,2020-01-17,JP,JPY,Inflation,CPI,196,machine_tool_orders_yoy,2020-01-15T06:00:00+00:00,,,0.400614,,67,0.435637,False,2026-04-21T08:13:09.357652+00:00
88,2020-01-17,UK,GBP,Growth,GDP,58,gdp_mom,2020-01-13T09:30:00+00:00,,,0.103828,,38,0.897497,False,2026-04-21T08:13:09.357652+00:00
89,2020-01-17,UK,GBP,Growth,GDP,59,gdp_yoy,2020-01-13T09:30:00+00:00,,,0.088593,,38,0.765807,False,2026-04-21T08:13:09.357652+00:00
90,2020-01-17,UK,GBP,Growth,GDP,64,retail_sales_mom,2020-01-17T09:30:00+00:00,,,0.061061,,40,0.812022,False,2026-04-21T08:13:09.357652+00:00
91,2020-01-17,UK,GBP,Growth,GDP,65,industrial_production_yoy,2020-01-13T09:30:00+00:00,,,0.068080,,44,0.588490,False,2026-04-21T08:13:09.357652+00:00
92,2020-01-17,UK,GBP,Growth,GDP,80,house_price_index_yoy,2020-01-08T08:30:00+00:00,,,0.095402,,49,0.824663,False,2026-04-21T08:13:09.357652+00:00
93,2020-01-17,UK,GBP,Growth,GDP,85,retail_sales_yoy,2020-01-17T09:30:00+00:00,,,0.108616,,40,0.938885,False,2026-04-21T08:13:09.357652+00:00
94,2020-01-17,UK,GBP,Growth,GDP,86,retail_sales_ex_fuel_mom,2020-01-17T09:30:00+00:00,,,0.056576,,40,0.752389,False,2026-04-21T08:13:09.357652+00:00
95,2020-01-17,UK,GBP,Growth,GDP,87,retail_sales_ex_fuel_yoy,2020-01-17T09:30:00+00:00,,,0.103458,,40,0.894301,False,2026-04-21T08:13:09.357652+00:00
96,2020-01-17,UK,GBP,Growth,GDP,186,house_price_index_mom,2020-01-08T08:30:00+00:00,,,0.065310,,47,0.564546,False,2026-04-21T08:13:09.357652+00:00
97,2020-01-17,UK,GBP,Inflation,CPI,48,core_cpi_yoy,2020-01-15T09:30:00+00:00,,,0.092713,,68,0.518707,False,2026-04-21T08:13:09.357652+00:00
98,2020-01-17,UK,GBP,Inflation,CPI,49,cpi_headline_yoy,2020-01-15T09:30:00+00:00,,,0.051219,,73,0.440855,False,2026-04-21T08:13:09.357652+00:00
99,2020-01-17,UK,GBP,Inflation,CPI,51,ppi_output_yoy,2020-01-15T09:30:00+00:00,,,0.072136,,55,0.403585,False,2026-04-21T08:13:09.357652+00:00
100,2020-01-17,UK,GBP,Inflation,CPI,74,ppi_core_output_mom,2020-01-15T09:30:00+00:00,,,0.073206,,48,0.409570,False,2026-04-21T08:13:09.357652+00:00
101,2020-01-17,UK,GBP,Inflation,CPI,75,ppi_core_output_yoy,2020-01-15T09:30:00+00:00,,,0.075101,,54,0.420175,False,2026-04-21T08:13:09.357652+00:00
102,2020-01-17,UK,GBP,Inflation,CPI,76,ppi_input_mom,2020-01-15T09:30:00+00:00,,,0.089229,,59,0.499213,False,2026-04-21T08:13:09.357652+00:00
103,2020-01-17,UK,GBP,Inflation,CPI,78,retail_price_index_mom,2020-01-15T09:30:00+00:00,,,0.091848,,65,0.790565,False,2026-04-21T08:13:09.357652+00:00
104,2020-01-17,UK,GBP,Inflation,CPI,79,retail_price_index_yoy,2020-01-15T09:30:00+00:00,,,0.053455,,70,0.460104,False,2026-04-21T08:13:09.357652+00:00
105,2020-01-20,JP,JPY,Growth,GDP,105,tertiary_industry_index_mom,2020-01-17T04:30:00+00:00,,,0.139008,,43,0.616658,False,2026-04-21T08:13:09.357652+00:00
106,2020-01-20,JP,JPY,Growth,GDP,111,services_pmi,2020-01-07T00:30:00+00:00,,,0.065217,,86,0.445091,False,2026-04-21T08:13:09.357652+00:00
107,2020-01-20,JP,JPY,Growth,GDP,112,composite_pmi,2020-01-07T00:30:00+00:00,,,0.074204,,85,0.506425,False,2026-04-21T08:13:09.357652+00:00
108,2020-01-20,JP,JPY,Growth,GDP,192,industrial_production_mom,2020-01-20T04:30:00+00:00,,,0.122472,,107,0.543302,False,2026-04-21T08:13:09.357652+00:00
109,2020-01-20,JP,JPY,Growth,GDP,193,industrial_production_yoy,2020-01-20T04:30:00+00:00,,,0.115039,,90,0.510327,False,2026-04-21T08:13:09.357652+00:00
110,2020-01-20,JP,JPY,Growth,GDP,194,leading_economic_index,2020-01-10T05:00:00+00:00,,,0.129534,,86,0.574630,False,2026-04-21T08:13:09.357652+00:00
111,2020-01-20,JP,JPY,Growth,GDP,196,machine_tool_orders_yoy,2020-01-15T06:00:00+00:00,,,0.097419,,43,0.432163,False,2026-04-21T08:13:09.357652+00:00
112,2020-01-20,JP,JPY,Inflation,CPI,196,machine_tool_orders_yoy,2020-01-15T06:00:00+00:00,,,0.400614,,67,0.435637,False,2026-04-21T08:13:09.357652+00:00
113,2020-01-21,CA,CAD,Growth,GDP,164,manufacturing_sales_mom,2020-01-21T13:30:00+00:00,,,0.129988,,122,0.568683,False,2026-04-21T08:13:09.357652+00:00
114,2020-01-21,CA,CAD,Growth,GDP,213,imports,2020-01-07T13:30:00+00:00,,,0.163386,,58,0.714797,False,2026-04-21T08:13:09.357652+00:00
115,2020-01-21,CA,CAD,Growth,GDP,214,exports,2020-01-07T13:30:00+00:00,,,0.139590,,58,0.610694,False,2026-04-21T08:13:09.357652+00:00
116,2020-01-21,CA,CAD,Inflation,CPI,165,ppi_yoy,2020-01-06T13:30:00+00:00,,,0.225747,,27,0.610777,False,2026-04-21T08:13:09.357652+00:00
117,2020-01-21,CA,CAD,Labor,UNEMPLOYMENT,155,employment_change,2020-01-10T13:30:00+00:00,,,0.134200,,72,0.463277,False,2026-04-21T08:13:09.357652+00:00
118,2020-01-21,CA,CAD,Labor,UNEMPLOYMENT,156,full_time_employment_change,2020-01-10T13:30:00+00:00,,,0.131813,,72,0.455037,False,2026-04-21T08:13:09.357652+00:00
119,2020-01-21,CA,CAD,Labor,UNEMPLOYMENT,157,part_time_employment_change,2020-01-10T13:30:00+00:00,,,0.132858,,72,0.458645,False,2026-04-21T08:13:09.357652+00:00
120,2020-01-21,CA,CAD,Labor,UNEMPLOYMENT,213,imports,2020-01-07T13:30:00+00:00,,,0.252861,,73,0.567393,False,2026-04-21T08:13:09.357652+00:00
121,2020-01-21,EU,EUR,Growth,GDP,94,construction_output_yoy,2020-01-17T10:00:00+00:00,,,0.184660,,52,0.471297,False,2026-04-21T08:13:09.357652+00:00
122,2020-01-21,EU,EUR,Growth,GDP,95,zew_economic_sentiment,2020-01-21T10:00:00+00:00,,,0.229268,,52,0.585147,False,2026-04-21T08:13:09.357652+00:00
123,2020-01-21,EU,EUR,Growth,GDP,96,consumer_confidence,2020-01-08T10:00:00+00:00,,,0.159518,,98,0.407127,False,2026-04-21T08:13:09.357652+00:00
124,2020-01-21,EU,EUR,Growth,GDP,97,manufacturing_pmi,2020-01-02T09:00:00+00:00,,,0.171621,,90,0.438019,False,2026-04-21T08:13:09.357652+00:00
125,2020-01-21,EU,EUR,Growth,GDP,189,economic_sentiment,2020-01-08T10:00:00+00:00,,,0.254933,,64,0.650649,False,2026-04-21T08:13:09.357652+00:00
126,2020-01-21,EU,EUR,Inflation,CPI,89,core_cpi_yoy,2020-01-17T10:00:00+00:00,0.000000,0.000000,0.132642,0.000000,247,0.503680,True,2026-04-21T08:13:09.357652+00:00
127,2020-01-21,EU,EUR,Inflation,CPI,90,unemployment_rate,2020-01-09T10:00:00+00:00,,,0.105662,,130,0.401232,False,2026-04-21T08:13:09.357652+00:00
128,2020-01-21,EU,EUR,Inflation,CPI,97,manufacturing_pmi,2020-01-02T09:00:00+00:00,,,0.107728,,207,0.409074,False,2026-04-21T08:13:09.357652+00:00
129,2020-01-21,EU,EUR,Inflation,CPI,190,consumer_inflation_expectation,2020-01-08T10:00:00+00:00,,,0.116080,,128,0.440792,False,2026-04-21T08:13:09.357652+00:00
130,2020-01-21,UK,GBP,Growth,GDP,58,gdp_mom,2020-01-13T09:30:00+00:00,,,0.103828,,38,0.897497,False,2026-04-21T08:13:09.357652+00:00
131,2020-01-21,UK,GBP,Growth,GDP,59,gdp_yoy,2020-01-13T09:30:00+00:00,,,0.088593,,38,0.765807,False,2026-04-21T08:13:09.357652+00:00
132,2020-01-21,UK,GBP,Growth,GDP,64,retail_sales_mom,2020-01-17T09:30:00+00:00,,,0.061061,,40,0.812022,False,2026-04-21T08:13:09.357652+00:00
133,2020-01-21,UK,GBP,Growth,GDP,65,industrial_production_yoy,2020-01-13T09:30:00+00:00,,,0.068080,,44,0.588490,False,2026-04-21T08:13:09.357652+00:00
134,2020-01-21,UK,GBP,Growth,GDP,80,house_price_index_yoy,2020-01-08T08:30:00+00:00,,,0.095402,,49,0.824663,False,2026-04-21T08:13:09.357652+00:00
135,2020-01-21,UK,GBP,Growth,GDP,85,retail_sales_yoy,2020-01-17T09:30:00+00:00,,,0.108616,,40,0.938885,False,2026-04-21T08:13:09.357652+00:00
136,2020-01-21,UK,GBP,Growth,GDP,86,retail_sales_ex_fuel_mom,2020-01-17T09:30:00+00:00,,,0.056576,,40,0.752389,False,2026-04-21T08:13:09.357652+00:00
137,2020-01-21,UK,GBP,Growth,GDP,87,retail_sales_ex_fuel_yoy,2020-01-17T09:30:00+00:00,,,0.103458,,40,0.894301,False,2026-04-21T08:13:09.357652+00:00
138,2020-01-21,UK,GBP,Growth,GDP,186,house_price_index_mom,2020-01-08T08:30:00+00:00,,,0.065310,,47,0.564546,False,2026-04-21T08:13:09.357652+00:00
139,2020-01-21,UK,GBP,Inflation,CPI,48,core_cpi_yoy,2020-01-15T09:30:00+00:00,,,0.092713,,68,0.518707,False,2026-04-21T08:13:09.357652+00:00
140,2020-01-21,UK,GBP,Inflation,CPI,49,cpi_headline_yoy,2020-01-15T09:30:00+00:00,,,0.051219,,73,0.440855,False,2026-04-21T08:13:09.357652+00:00
141,2020-01-21,UK,GBP,Inflation,CPI,51,ppi_output_yoy,2020-01-15T09:30:00+00:00,,,0.072136,,55,0.403585,False,2026-04-21T08:13:09.357652+00:00
142,2020-01-21,UK,GBP,Inflation,CPI,57,avg_earnings_excl_bonus,2020-01-21T09:30:00+00:00,,,0.071797,,83,0.401689,False,2026-04-21T08:13:09.357652+00:00
143,2020-01-21,UK,GBP,Inflation,CPI,74,ppi_core_output_mom,2020-01-15T09:30:00+00:00,,,0.073206,,48,0.409570,False,2026-04-21T08:13:09.357652+00:00
144,2020-01-21,UK,GBP,Inflation,CPI,75,ppi_core_output_yoy,2020-01-15T09:30:00+00:00,,,0.075101,,54,0.420175,False,2026-04-21T08:13:09.357652+00:00
145,2020-01-21,UK,GBP,Inflation,CPI,76,ppi_input_mom,2020-01-15T09:30:00+00:00,,,0.089229,,59,0.499213,False,2026-04-21T08:13:09.357652+00:00
146,2020-01-21,UK,GBP,Inflation,CPI,78,retail_price_index_mom,2020-01-15T09:30:00+00:00,,,0.091848,,65,0.790565,False,2026-04-21T08:13:09.357652+00:00
147,2020-01-21,UK,GBP,Inflation,CPI,79,retail_price_index_yoy,2020-01-15T09:30:00+00:00,,,0.053455,,70,0.460104,False,2026-04-21T08:13:09.357652+00:00
148,2020-01-22,CA,CAD,Growth,GDP,164,manufacturing_sales_mom,2020-01-21T13:30:00+00:00,,,0.129988,,122,0.568683,False,2026-04-21T08:13:09.357652+00:00
149,2020-01-22,CA,CAD,Growth,GDP,212,wholesale_sales_mom,2020-01-22T13:30:00+00:00,,,0.113690,,133,0.497381,False,2026-04-21T08:13:09.357652+00:00
150,2020-01-22,CA,CAD,Growth,GDP,213,imports,2020-01-07T13:30:00+00:00,,,0.163386,,58,0.714797,False,2026-04-21T08:13:09.357652+00:00
151,2020-01-22,CA,CAD,Growth,GDP,214,exports,2020-01-07T13:30:00+00:00,,,0.139590,,58,0.610694,False,2026-04-21T08:13:09.357652+00:00
152,2020-01-22,CA,CAD,Inflation,CPI,152,cpi_headline_yoy,2020-01-22T13:30:00+00:00,,,0.244225,,76,0.429502,False,2026-04-21T08:13:09.357652+00:00
