central_bank_code,currency,indicator_key,indicator,shock,baseline_pearson_ic,scenario_pearson_ic,pearson_ic_delta,baseline_hit_rate,scenario_hit_rate,hit_rate_delta,sensitivity_magnitude
FED,USD,consumer_inflation_expectations,Consumer Inflation Expectations,minus_20pct,0.20315680532959624,0.20349788830825977,0.00034108297866353166,0.5084745762711864,0.5084745762711864,0.0,0.00034108297866353166
FED,USD,core_pce_price_index_yoy,Core PCE Price Index (YoY),plus_20pct,0.20315680532959624,0.20283080017587102,-0.0003260051537252173,0.5084745762711864,0.5084745762711864,0.0,0.0003260051537252173
RBA,AUD,rba_trimmed_mean_cpi_yoy,RBA Trimmed Mean CPI (YoY),minus_20pct,-0.1383878319758714,-0.13806209447996715,0.0003257374959042547,0.4666666666666667,0.4666666666666667,0.0,0.0003257374959042547
FED,USD,core_pce_price_index_yoy,Core PCE Price Index (YoY),minus_20pct,0.20315680532959624,0.20346529023784848,0.00030848490825224895,0.5084745762711864,0.5084745762711864,0.0,0.00030848490825224895
RBA,AUD,rba_trimmed_mean_cpi_yoy,RBA Trimmed Mean CPI (YoY),plus_20pct,-0.1383878319758714,-0.13869350325122695,-0.0003056712753555513,0.4666666666666667,0.4666666666666667,0.0,0.0003056712753555513
SNB,CHF,economic_sentiment_index,Economic Sentiment Index,minus_20pct,-0.05399171631330828,-0.05428722966680775,-0.00029551335349947,0.44594594594594594,0.44594594594594594,0.0,0.00029551335349947
BOJ,JPY,coincident_index,Coincident Index,minus_20pct,0.0028546048305205522,0.0025629906965341552,-0.000291614133986397,0.4666666666666667,0.4666666666666667,0.0,0.000291614133986397
FED,USD,government_payrolls,Government Payrolls,plus_20pct,0.20315680532959624,0.2028695842658303,-0.00028722106376594114,0.5084745762711864,0.5084745762711864,0.0,0.00028722106376594114
FED,USD,government_payrolls,Government Payrolls,minus_20pct,0.20315680532959624,0.20344027038835688,0.00028346505876064576,0.5084745762711864,0.5084745762711864,0.0,0.00028346505876064576
BOJ,JPY,coincident_index,Coincident Index,plus_20pct,0.0028546048305205522,0.0031352196963915025,0.00028061486587095024,0.4666666666666667,0.4666666666666667,0.0,0.00028061486587095024
BOJ,JPY,core_cpi_yoy,Core CPI (YoY),minus_20pct,0.0028546048305205522,0.0025758782001170447,-0.0002787266304035076,0.4666666666666667,0.4666666666666667,0.0,0.0002787266304035076
SNB,CHF,consumer_confidence,Consumer Confidence,plus_20pct,-0.05399171631330828,-0.05371512546084839,0.00027659085245988757,0.44594594594594594,0.44594594594594594,0.0,0.00027659085245988757
SNB,CHF,consumer_confidence,Consumer Confidence,minus_20pct,-0.05399171631330828,-0.05426667231539399,-0.00027495600208571336,0.44594594594594594,0.44594594594594594,0.0,0.00027495600208571336
BOJ,JPY,core_cpi_yoy,Core CPI (YoY),plus_20pct,0.0028546048305205522,0.003127076753527146,0.0002724719230065937,0.4666666666666667,0.4666666666666667,0.0,0.0002724719230065937
FED,USD,cpi_headline_yoy,Headline CPI (YoY),plus_20pct,0.20315680532959624,0.2029306598914932,-0.000226145438103037,0.5084745762711864,0.5084745762711864,0.0,0.000226145438103037
FED,USD,cpi_headline_yoy,Headline CPI (YoY),minus_20pct,0.20315680532959624,0.20337606375272016,0.00021925842312392474,0.5084745762711864,0.5084745762711864,0.0,0.00021925842312392474
BOC,CAD,full_time_employment_change,Full-Time Employment Change,minus_20pct,-0.15295433463870756,-0.1527906482992193,0.00016368633948826705,0.5066666666666667,0.5066666666666667,0.0,0.00016368633948826705
BOJ,JPY,eco_watchers_current,Eco Watchers Survey Current,minus_20pct,0.0028546048305205522,0.0029916963839358777,0.0001370915534153255,0.4666666666666667,0.4666666666666667,0.0,0.0001370915534153255
ECB,EUR,cpi_headline_mom,Headline HICP (MoM),plus_20pct,-0.005819286849960415,-0.0059556531617423825,-0.00013636631178196718,0.52,0.52,0.0,0.00013636631178196718
BOJ,JPY,eco_watchers_current,Eco Watchers Survey Current,plus_20pct,0.0028546048305205522,0.002720495054218755,-0.00013410977630179703,0.4666666666666667,0.4666666666666667,0.0,0.00013410977630179703
SNB,CHF,gdp_qoq,GDP (QoQ),minus_20pct,-0.05399171631330828,-0.0538856203829301,0.00010609593037817777,0.44594594594594594,0.44594594594594594,0.0,0.00010609593037817777
RBA,AUD,producer_price_index_qoq,Producer Price Index (QoQ),plus_20pct,-0.1383878319758714,-0.13828544287778727,0.00010238909808413243,0.4666666666666667,0.4666666666666667,0.0,0.00010238909808413243
SNB,CHF,gdp_qoq,GDP (QoQ),plus_20pct,-0.05399171631330828,-0.05409160014637254,-9.98838330642654e-05,0.44594594594594594,0.44594594594594594,0.0,9.98838330642654e-05
RBA,AUD,producer_price_index_qoq,Producer Price Index (QoQ),minus_20pct,-0.1383878319758714,-0.1384797089327972,-9.187695692580711e-05,0.4666666666666667,0.4666666666666667,0.0,9.187695692580711e-05
