central_bank_code,currency,indicator_key,indicator,indicator_category,target_families,initial_signed_weight,initial_abs_weight,avg_abs_correlation,avg_model_importance,avg_pca_score,economic_rationale,initial_normalized_abs_weight
BOE,GBP,house_price_index_yoy,House Price Index (YoY),Housing,"gdp_growth,inflation,unemployment",0.009734480557676867,0.009734480557676867,0.19799764901312264,0.0,0.2558106461273045,"Linked to gdp_growth, inflation, unemployment; strongest target link is gdp_growth with Pearson 0.29. weak positive Pearson correlation (0.29); Spearman 0.49; PCA loading signal 0.26",0.014527369549724755
BOE,GBP,industrial_production_yoy,Industrial Production (YoY),Growth,"gdp_growth,unemployment",0.009368515260692064,0.009368515260692064,0.5871241338148183,0.02584098185899215,0.3013040413071897,"Linked to gdp_growth, unemployment; strongest target link is gdp_growth with Pearson 0.93. strong positive Pearson correlation (0.93); Spearman 0.73; same macro theme; PCA loading signal 0.30; model importance signal 0.03",0.013981216821782817
BOE,GBP,niesr_monthly_gdp_tracker,NIESR Monthly GDP Tracker,Growth,"gdp_growth,inflation,unemployment",0.008869451709381533,0.008869451709381533,0.22734522910471797,0.0129657443823627,0.2647667030528812,"Linked to gdp_growth, inflation, unemployment; strongest target link is gdp_growth with Pearson 0.45. moderate positive Pearson correlation (0.45); Spearman 0.33; same macro theme; PCA loading signal 0.26; model importance signal 0.04",0.013236433307579945
BOE,GBP,retail_sales_yoy,Retail Sales (YoY),Growth,"gdp_growth,inflation,unemployment",-0.0088055245102278,0.0088055245102278,0.47244425378218086,0.0,0.3404996048231921,"Linked to gdp_growth, inflation, unemployment; strongest target link is gdp_growth with Pearson 0.71. strong positive Pearson correlation (0.71); Spearman 0.31; same macro theme; PCA loading signal 0.34",0.01314103078035904
BOE,GBP,nationwide_hpi_yoy,Nationwide House Prices (YoY),Housing,"gdp_growth,inflation,unemployment",0.008530433157845064,0.008530433157845064,0.19547769985525912,0.0,0.20634469076020148,"Linked to gdp_growth, inflation, unemployment; strongest target link is gdp_growth with Pearson 0.36. weak positive Pearson correlation (0.36); Spearman 0.57; PCA loading signal 0.21",0.012730494880439251
BOE,GBP,gdp_mom,GDP (MoM),Growth,"gdp_growth,inflation,unemployment",0.007930725985402367,0.007930725985402367,0.11236490159969599,0.0071211054446908666,0.21610470427070796,"Linked to gdp_growth, inflation, unemployment; strongest target link is gdp_growth with Pearson 0.25. weak positive Pearson correlation (0.25); Spearman 0.11; same macro theme; PCA loading signal 0.22; model importance signal 0.02",0.011835514643530264
BOE,GBP,unemployment_rate,Unemployment Rate,Labor,"gdp_growth,inflation",-0.0077018920872027,0.0077018920872027,0.30018675667682276,0.009098303272387,0.2018655449434155,"Linked to gdp_growth, inflation; strongest target link is inflation with Pearson -0.56. moderate negative Pearson correlation (-0.56); Spearman -0.58; PCA loading signal 0.20; model importance signal 0.02",0.011494011613660942
BOE,GBP,gdp_qoq,GDP (QoQ),Growth,"gdp_growth,inflation,unemployment",0.007581153463954933,0.007581153463954933,0.19336084802090756,0.0,0.2542771630481861,"Linked to gdp_growth, inflation, unemployment; strongest target link is gdp_growth with Pearson 0.42. moderate positive Pearson correlation (0.42); Spearman 0.32; same macro theme; PCA loading signal 0.25",0.01131382587201271
BOE,GBP,gdp_yoy,GDP (YoY),Growth,inflation,0.007462882207998634,0.007462882207998634,0.2551388278507315,0.0,0.2511112738654503,Linked to inflation; strongest target link is inflation with Pearson 0.26. weak positive Pearson correlation (0.26); Spearman 0.23; PCA loading signal 0.25,0.011137322335721577
BOE,GBP,claimant_count_change,Claimant Count Change,Labor,"gdp_growth,inflation,unemployment",-0.007317857440555065,0.007317857440555065,0.32544636212253536,0.021639553793396934,0.2600240832323665,"Linked to gdp_growth, inflation, unemployment; strongest target link is gdp_growth with Pearson -0.65. moderate negative Pearson correlation (-0.65); Spearman -0.54; PCA loading signal 0.26; model importance signal 0.04",0.010920892873663213
BOE,GBP,ppi_input_mom,PPI Input (MoM),Inflation,"gdp_growth,inflation,unemployment",-0.006658825283734799,0.006658825283734799,0.13031500320378378,0.004013641792879867,0.1596193014817409,"Linked to gdp_growth, inflation, unemployment; strongest target link is inflation with Pearson -0.02. weak negative Pearson correlation (-0.02); Spearman -0.22; same macro theme; PCA loading signal 0.16; model importance signal 0.01",0.009937378280300564
