central_bank_code,month,indicator_key,value_normalized,indicator,indicator_category,signed_weight,contribution
BOC,2020-06-01,cpi_headline_mom,1.211320271825124,Headline CPI (MoM),Inflation,0.034877743571368594,0.04224811782351717
BOC,2020-06-01,cpi_headline_yoy,-1.2151520532587503,Headline CPI (YoY),Inflation,0.04875432513445595,-0.05924391829237884
BOC,2020-06-01,employment_change,3.043015712924479,Employment Change,Labor,0.03988527443287958,0.12137151681355754
BOC,2020-06-01,exports,-2.1982917849271217,Exports,Trade,0.02893149712843853,-0.06359987246308904
BOC,2020-06-01,full_time_employment_change,2.288083949623476,Full-Time Employment Change,Labor,0.04096881593605494,0.0937400901783658
BOC,2020-06-01,gdp_mom,3.257831227398884,GDP (MoM),Growth,0.006134904127173815,0.019986482242605148
BOC,2020-06-01,imports,-1.9773350180179785,Imports,Trade,0.023228716873411066,-0.04593095529742079
BOC,2020-06-01,ivey_pmi_sa,0.3410043508705938,Ivey PMI s.a.,Growth,0.03219530035399949,0.010978737498299395
BOC,2020-06-01,manufacturing_sales_mom,4.206729703617894,Manufacturing Sales (MoM),Growth,0.006148537874260851,0.025865236909472747
BOC,2020-06-01,new_housing_price_index_mom,-0.2999848459734484,New Housing Price Index (MoM),Housing,-0.024608373811200263,0.007382139227409951
BOC,2020-06-01,new_housing_price_index_yoy,-0.5336879187691482,New Housing Price Index (YoY),Housing,0.01278700461885018,-0.006824269882325639
BOC,2020-06-01,new_motor_vehicle_sales,0.1975827872147557,New Motor Vehicle Sales,Growth,0.013522100026237169,0.002671734212180661
BOC,2020-06-01,part_time_employment_change,3.578259597244261,Part-Time Employment Change,Labor,-0.003142317773373342,-0.011244028730164377
BOC,2020-06-01,ppi_mom,-0.0296987812695194,PPI (MoM),Inflation,0.01006163277453113,-0.0002988182309850276
BOC,2020-06-01,ppi_yoy,-1.12623832893888,PPI (YoY),Inflation,0.03488863459243317,-0.03929291752234113
BOC,2020-06-01,raw_materials_prices_mom,1.4707427180443826,Raw Materials Prices (MoM),Inflation,-0.009254324696009371,-0.013610730657074077
BOC,2020-06-01,raw_materials_prices_yoy,-1.1440444448602238,Raw Materials Prices (YoY),Inflation,0.03215740267063467,-0.03678949788647292
BOC,2020-06-01,retail_sales_ex_autos_mom,3.96507274612306,Retail Sales Ex Autos (MoM),Growth,0.023220023305281487,0.09206908157211392
BOC,2020-06-01,retail_sales_mom,4.572708867026919,Retail Sales (MoM),Growth,-0.014445421741266352,-0.06605470808423208
BOC,2020-06-01,retail_sales_yoy,-0.0741438021202011,Retail Sales (YoY),Growth,0.03521631245765324,-0.002611071302263415
BOC,2020-06-01,unemployment_rate,3.081653770578636,Unemployment Rate,Labor,-0.009542259431604347,-0.02940593975724309
BOC,2020-06-01,wholesale_sales_mom,5.06171254701375,Wholesale Sales (MoM),Growth,0.0064370348713542695,0.032582420173898945
BOC,2020-07-01,balance_of_trade,-0.7701143050659688,Balance of Trade,Trade,0.02960202367361747,-0.022796941889954275
BOC,2020-07-01,budget_balance,-1.6552545489673636,Budget Balance,Growth,0.01801349542493152,-0.02981692024492069
BOC,2020-07-01,core_cpi_yoy,-1.4649691330277133,Core CPI (YoY),Inflation,-0.007165218831087283,0.010496824418931782
BOC,2020-07-01,cpi_headline_mom,-0.8930645435708017,Headline CPI (MoM),Inflation,0.034877743571368594,-0.031148076143343757
BOC,2020-07-01,cpi_headline_yoy,-1.5105195033045873,Headline CPI (YoY),Inflation,0.04875432513445595,-0.07364435898604875
