central_bank_code,month,strength_score
BOE,2019-10-01,0.023510073177864983
BOE,2019-11-01,-0.03532706370843344
BOE,2019-12-01,-0.23728333593581816
BOE,2020-01-01,-0.3620825159968251
BOE,2020-02-01,-0.2633005228590471
BOE,2020-03-01,-0.3078933363406514
BOE,2020-04-01,-0.6993208979930278
BOE,2020-05-01,-0.6998509823590583
BOE,2020-06-01,-0.6080819608101992
BOE,2020-07-01,-0.4885619959424111
BOE,2020-08-01,-0.532802062016241
BOE,2020-09-01,-0.4889236464752931
BOE,2020-10-01,-0.36122932647160294
BOE,2020-11-01,-0.4400493563149562
BOE,2020-12-01,-0.3130840182311652
BOE,2021-01-01,-0.366299676862339
BOE,2021-02-01,-0.25311234417102374
BOE,2021-03-01,-0.1928361347357708
BOE,2021-04-01,-0.045628851906164655
BOE,2021-05-01,0.10285047688935639
BOE,2021-06-01,0.17173559157928397
BOE,2021-07-01,0.1690137567821453
BOE,2021-08-01,0.27128275153678677
BOE,2021-09-01,0.15357897896080713
BOE,2021-10-01,0.26494802189814093
BOE,2021-11-01,0.24535279250322387
BOE,2021-12-01,0.26903005380864664
BOE,2022-01-01,0.23735499186815395
BOE,2022-02-01,0.394641772756571
BOE,2022-03-01,0.6774144485980721
BOE,2022-04-01,0.9542592430626037
BOE,2022-05-01,0.7169588540103873
BOE,2022-06-01,0.6597775929028478
BOE,2022-07-01,0.655815546017359
BOE,2022-08-01,0.5474884550368881
BOE,2022-09-01,0.5981961838879939
BOE,2022-10-01,0.7804967401140264
BOE,2022-11-01,0.3378943803508124
BOE,2022-12-01,0.43567623648981957
BOE,2023-01-01,0.41011985065597373
BOE,2023-02-01,0.5405829281523361
BOE,2023-03-01,0.4276732475153592
BOE,2023-04-01,0.3512019945286377
BOE,2023-05-01,0.1917870412867665
BOE,2023-06-01,0.05066311376441833
BOE,2023-07-01,0.054104422450578914
BOE,2023-08-01,0.06511696142372525
BOE,2023-09-01,0.09842700637531263
BOE,2023-10-01,-0.03536429749313664
BOE,2023-11-01,-0.17824206241384613
BOE,2023-12-01,-0.015190929296580606
BOE,2024-01-01,-0.24548452671421372
BOE,2024-02-01,-0.044057289521012205
BOE,2024-03-01,-0.12318562013273816
BOE,2024-04-01,-0.13308537872724083
BOE,2024-05-01,-0.17532151477692706
BOE,2024-06-01,-0.2103401475142788
BOE,2024-07-01,-0.2113374119403027
BOE,2024-08-01,-0.1955038744612051
BOE,2024-09-01,-0.2876037034279689
BOE,2024-10-01,-0.1285238262382318
BOE,2024-11-01,-0.14145802442734004
BOE,2024-12-01,-0.13232833207083441
BOE,2025-01-01,-0.18073834768911898
BOE,2025-02-01,0.03767325987371264
BOE,2025-03-01,-0.035534035153920014
BOE,2025-04-01,0.194758245388617
BOE,2025-05-01,-0.07491372837548359
BOE,2025-06-01,-0.0527208273323304
BOE,2025-07-01,-0.0643812847671035
BOE,2025-08-01,-0.07392940519019968
BOE,2025-09-01,-0.18424681012669378
BOE,2025-10-01,-0.1767944349848789
BOE,2025-11-01,-0.28825687784698845
BOE,2025-12-01,-0.19997537943581567
BOE,2026-01-01,-0.3549845709348606
BOE,2026-02-01,-0.2869068444526585
BOE,2026-03-01,-0.06483255454195232
BOE,2026-04-01,-0.06782033320788051
BOJ,2019-10-01,0.0035057274617042696
BOJ,2019-11-01,-0.029527570133352575
BOJ,2019-12-01,-0.22783701721234847
BOJ,2020-01-01,-0.2785839174136202
BOJ,2020-02-01,-0.33029731274097507
BOJ,2020-03-01,-0.7992568125146353
BOJ,2020-04-01,-1.7118466930059673
BOJ,2020-05-01,-1.1252280805249066
BOJ,2020-06-01,-0.38385000542436426
BOJ,2020-07-01,-0.7986477926546643
BOJ,2020-08-01,-0.4860125323120865
BOJ,2020-09-01,-0.37217254329547866
BOJ,2020-10-01,-0.37862697115726457
BOJ,2020-11-01,-0.4678475272220067
BOJ,2020-12-01,-0.4825558475329625
BOJ,2021-01-01,-0.5603134993163901
BOJ,2021-02-01,-0.355127982577064
BOJ,2021-03-01,-0.06385777796316991
BOJ,2021-04-01,-0.20597494652826276
BOJ,2021-05-01,-0.20589792698704812
BOJ,2021-06-01,-0.046804720422978396
BOJ,2021-07-01,-0.19802445875119734
BOJ,2021-08-01,-0.41090002024422817
BOJ,2021-09-01,-0.1749481173059219
BOJ,2021-10-01,-0.0835520442351364
BOJ,2021-11-01,0.045830594379915164
BOJ,2021-12-01,-0.04284507098013172
BOJ,2022-01-01,-0.29398847392133526
BOJ,2022-02-01,-0.29205247212867375
BOJ,2022-03-01,-0.015783243160612616
BOJ,2022-04-01,0.1513569825510533
BOJ,2022-05-01,0.059340972370602096
BOJ,2022-06-01,0.13387333205308227
BOJ,2022-07-01,0.09543973926552897
BOJ,2022-08-01,0.11076901691111606
BOJ,2022-09-01,0.1489876231711408
BOJ,2022-10-01,0.2529845001802157
BOJ,2022-11-01,0.045823728617598404
BOJ,2022-12-01,0.09685179516047954
BOJ,2023-01-01,0.25286126556006017
BOJ,2023-02-01,0.17880925007231108
BOJ,2023-03-01,0.26490698114566985
BOJ,2023-04-01,0.36855544080971075
BOJ,2023-05-01,0.3936007381191395
BOJ,2023-06-01,0.3670686268830246
BOJ,2023-07-01,0.41064431837208615
BOJ,2023-08-01,0.3540450993490746
BOJ,2023-09-01,0.28737152986516046
BOJ,2023-10-01,0.3927480370476504
BOJ,2023-11-01,0.16657428562323562
BOJ,2023-12-01,0.19984713306498678
BOJ,2024-01-01,0.20884165006004704
BOJ,2024-02-01,0.2883420994082912
BOJ,2024-03-01,0.2477635062907008
BOJ,2024-04-01,0.25837986669566476
BOJ,2024-05-01,0.23707877824227483
BOJ,2024-06-01,0.0505164033387565
BOJ,2024-07-01,0.31165589066431065
BOJ,2024-08-01,0.2651735052521538
BOJ,2024-09-01,0.046673788517565984
BOJ,2024-10-01,0.28866345152308753
BOJ,2024-11-01,0.21521543031885032
BOJ,2024-12-01,0.2736039856519045
BOJ,2025-01-01,0.3389692711463731
BOJ,2025-02-01,0.1616512249221531
BOJ,2025-03-01,0.24442016438699676
BOJ,2025-04-01,0.3166312019953737
BOJ,2025-05-01,0.22361094698455547
BOJ,2025-06-01,0.14221228648284978
BOJ,2025-07-01,0.23993377460047105
BOJ,2025-08-01,0.1696106083340668
BOJ,2025-09-01,0.18584037060481476
BOJ,2025-10-01,0.3346182875628391
BOJ,2025-11-01,0.257089657594911
BOJ,2025-12-01,0.20672312956391942
BOJ,2026-01-01,0.2709582016268553
BOJ,2026-02-01,0.21774988080081747
BOJ,2026-03-01,0.011680569294763658
BOJ,2026-04-01,0.028207688567409826
ECB,2019-10-01,0.0001478224850106816
ECB,2019-11-01,-0.003309910008561054
ECB,2019-12-01,-0.20976263650462817
ECB,2020-01-01,-0.2042171720993011
ECB,2020-02-01,-0.18851082389907264
ECB,2020-03-01,-0.25378963538615806
ECB,2020-04-01,-0.49825912368303327
ECB,2020-05-01,-0.4477505973846308
ECB,2020-06-01,-0.368548579377541
ECB,2020-07-01,-0.35679331605813736
ECB,2020-08-01,-0.368384981457433
