central_bank_code,month,indicator_key,value_normalized,indicator,indicator_category,signed_weight,contribution
BOC,2020-10-01,core_cpi_yoy,-1.2655584092484184,Core CPI (YoY),Inflation,-0.006547838696679133,0.00828667232498448
BOC,2020-10-01,cpi_headline_mom,0.2760381316491569,Headline CPI (MoM),Inflation,0.035063565123467394,0.00967888100564048
BOC,2020-10-01,cpi_headline_yoy,-1.2151520532587503,Headline CPI (YoY),Inflation,0.05360716239741377,-0.06514085345659261
BOC,2020-10-01,employment_change,0.199474983849256,Employment Change,Labor,0.03920873241256186,0.007821161264745578
BOC,2020-10-01,exports,-1.430903897265333,Exports,Trade,0.0333564046264773,-0.04772980937878575
BOC,2020-10-01,full_time_employment_change,0.2417505987328966,Full-Time Employment Change,Labor,0.03840365823982607,0.00928410737301149
BOC,2020-10-01,gdp_mom,0.1348416200804761,GDP (MoM),Growth,0.0059200559884897315,0.0007982699404550797
BOC,2020-10-01,imports,-1.1077259615425266,Imports,Trade,0.0249490385005521,-0.02763669766258559
BOC,2020-10-01,ivey_pmi_sa,-0.0623862311539452,Ivey PMI s.a.,Growth,0.033055452820978534,-0.0020622051205878966
BOC,2020-10-01,manufacturing_sales_mom,0.0079584553072554,Manufacturing Sales (MoM),Growth,0.006562575809665964,5.222796628170199e-05
BOC,2020-10-01,new_housing_price_index_mom,1.025190929928678,New Housing Price Index (MoM),Housing,-0.026984602905068197,-0.027664370146002974
BOC,2020-10-01,new_housing_price_index_yoy,0.0274037442243465,New Housing Price Index (YoY),Housing,0.012696870154716435,0.00034794178216958794
BOC,2020-10-01,new_motor_vehicle_sales,0.5572734015302757,New Motor Vehicle Sales,Growth,0.012902579506752465,0.007190264370242773
BOC,2020-10-01,part_time_employment_change,0.0889586781875526,Part-Time Employment Change,Labor,-0.0030072234519313013,-0.00026751862329841766
BOC,2020-10-01,ppi_mom,-0.672072420580607,PPI (MoM),Inflation,0.009163410622786333,-0.006158475558030059
BOC,2020-10-01,ppi_yoy,-0.5781129002271366,PPI (YoY),Inflation,0.03754761994627243,-0.02170676346376584
BOC,2020-10-01,raw_materials_prices_mom,-0.0429603342459543,Raw Materials Prices (MoM),Inflation,-0.010871747526889766,0.0004670539075928114
BOC,2020-10-01,raw_materials_prices_yoy,-0.402824225870443,Raw Materials Prices (YoY),Inflation,0.034657558383766995,-0.01396090412650062
BOC,2020-10-01,retail_sales_mom,0.0010751093556755,Retail Sales (MoM),Growth,-0.014649595799198133,-1.5749917500582417e-05
BOC,2020-10-01,retail_sales_yoy,0.3294461187647109,Retail Sales (YoY),Growth,0.0321505005935775,0.010591857636896641
BOC,2020-10-01,unemployment_rate,1.187957375055403,Unemployment Rate,Labor,-0.011675734969682432,-0.013870275466426519
BOC,2020-10-01,wholesale_sales_mom,0.1470877007558611,Wholesale Sales (MoM),Growth,0.006155659238182199,0.0009054217639807952
BOC,2020-11-01,balance_of_trade,-1.105814064005597,Balance of Trade,Trade,0.03713303082914203,-0.04106222773001867
BOC,2020-11-01,budget_balance,-0.6125805713141756,Budget Balance,Growth,0.022165876299863732,-0.01357838516744987
BOC,2020-11-01,core_cpi_yoy,-0.933207202949594,Core CPI (YoY),Inflation,-0.006547838696679133,0.006110490235493049
BOC,2020-11-01,cpi_headline_mom,-0.4254234734828182,Headline CPI (MoM),Inflation,0.035063565123467394,-0.014916863667516501
BOC,2020-11-01,cpi_headline_yoy,-1.0674683282358317,Headline CPI (YoY),Inflation,0.05360716239741377,-0.05722394802583401
BOC,2020-11-01,employment_change,0.128819882333065,Employment Change,Labor,0.03920873241256186,0.0050508642958148504
BOC,2020-11-01,exports,-1.3969986886793928,Exports,Trade,0.0333564046264773,-0.04659885352224802
BOC,2020-11-01,full_time_employment_change,0.3877777280685252,Full-Time Employment Change,Labor,0.03840365823982607,0.01489208334175985
BOC,2020-11-01,gdp_mom,0.2884312728994141,GDP (MoM),Growth,0.0059200559884897315,0.0017075292843958926
BOC,2020-11-01,imports,-1.1231487688197168,Imports,Trade,0.0249490385005521,-0.028021481875130805
BOC,2020-11-01,ivey_pmi_sa,-0.2586302980848016,Ivey PMI s.a.,Growth,0.033055452820978534,-0.008549141616417774
BOC,2020-11-01,manufacturing_sales_mom,-0.1772814527064491,Manufacturing Sales (MoM),Growth,0.006562575809665964,-0.0011634229730337834
BOC,2020-11-01,new_housing_price_index_mom,0.6465692796709276,New Housing Price Index (MoM),Housing,-0.026984602905068197,-0.017447415262535966
BOC,2020-11-01,new_housing_price_index_yoy,0.1784668842610565,New Housing Price Index (YoY),Housing,0.012696870154716435,0.0022659708563794404
BOC,2020-11-01,new_motor_vehicle_sales,-0.4138912571216284,New Motor Vehicle Sales,Growth,0.012902579506752465,-0.0053402648521615375
BOC,2020-11-01,part_time_employment_change,-0.3101063836188441,Part-Time Employment Change,Labor,-0.0030072234519313013,0.0009325591894121926
BOC,2020-11-01,ppi_mom,-0.8326658304083788,PPI (MoM),Inflation,0.009163410622786333,-0.007630058915595342
BOC,2020-11-01,raw_materials_prices_mom,-0.0213360049275209,Raw Materials Prices (MoM),Inflation,-0.010871747526889766,0.0002319596588044832
BOC,2020-11-01,raw_materials_prices_yoy,-0.4814384915208743,Raw Materials Prices (YoY),Inflation,0.034657558383766995,-0.016685482628077414
BOC,2020-11-01,retail_sales_ex_autos_mom,0.4510902744028134,Retail Sales Ex Autos (MoM),Growth,0.02571506160918533,0.011599814197572663
BOC,2020-11-01,retail_sales_mom,0.1776618210253802,Retail Sales (MoM),Growth,-0.014649595799198133,-0.0026026738669713
BOC,2020-11-01,retail_sales_yoy,0.3294461187647109,Retail Sales (YoY),Growth,0.0321505005935775,0.010591857636896641
BOC,2020-11-01,unemployment_rate,0.9651695638173756,Unemployment Rate,Labor,-0.011675734969682432,-0.011269064027935672
BOC,2020-11-01,wholesale_sales_mom,0.0628369891057258,Wholesale Sales (MoM),Growth,0.006155659238182199,0.0003868030924882152
BOC,2020-12-01,balance_of_trade,-0.4759055275683169,Balance of Trade,Trade,0.03713303082914203,-0.017671814626953414
BOC,2020-12-01,budget_balance,-0.6735318950273392,Budget Balance,Growth,0.022165876299863732,-0.014929424669188805
BOC,2020-12-01,core_cpi_yoy,-0.933207202949594,Core CPI (YoY),Inflation,-0.006547838696679133,0.006110490235493049
BOC,2020-12-01,cpi_headline_mom,-1.1268850786147937,Headline CPI (MoM),Inflation,0.035063565123467394,-0.039512608340673494
BOC,2020-12-01,cpi_headline_yoy,-1.2151520532587503,Headline CPI (YoY),Inflation,0.05360716239741377,-0.06514085345659261
BOC,2020-12-01,employment_change,-0.2787553791908884,Employment Change,Labor,0.03920873241256186,-0.010929645071257758
BOC,2020-12-01,exports,-1.338229660463762,Exports,Trade,0.0333564046264773,-0.04463853003758258
BOC,2020-12-01,full_time_employment_change,0.0825370731027465,Full-Time Employment Change,Labor,0.03840365823982607,0.003169725547553417
BOC,2020-12-01,gdp_mom,-0.0187480327384619,GDP (MoM),Growth,0.0059200559884897315,-0.00011098940348573292
BOC,2020-12-01,imports,-1.256022185361669,Imports,Trade,0.0249490385005521,-0.031336545860135866
BOC,2020-12-01,ivey_pmi_sa,-0.912777187854324,Ivey PMI s.a.,Growth,0.033055452820978534,-0.03017226326918407
BOC,2020-12-01,manufacturing_sales_mom,0.1314517273163919,Manufacturing Sales (MoM),Growth,0.006562575809665964,0.0008626619258253601
BOC,2020-12-01,new_housing_price_index_mom,0.0786368042843019,New Housing Price Index (MoM),Housing,-0.026984602905068197,-0.0021219829373354524
BOC,2020-12-01,new_housing_price_index_yoy,0.1784668842610565,New Housing Price Index (YoY),Housing,0.012696870154716435,0.0022659708563794404
BOC,2020-12-01,new_motor_vehicle_sales,-1.2411796700473243,New Motor Vehicle Sales,Growth,0.012902579506752465,-0.016014419374950392
BOC,2020-12-01,part_time_employment_change,-0.7905342250168362,Part-Time Employment Change,Labor,-0.0030072234519313013,0.002377313061024966
BOC,2020-12-01,ppi_mom,0.853564972783226,PPI (MoM),Inflation,0.009163410622786333,0.00782156633884014
BOC,2020-12-01,ppi_yoy,-0.4194450129684741,PPI (YoY),Inflation,0.03754761994627243,-0.01574916193529958
BOC,2020-12-01,raw_materials_prices_mom,0.6057695453070473,Raw Materials Prices (MoM),Inflation,-0.010871747526889766,-0.006585773556057029
BOC,2020-12-01,raw_materials_prices_yoy,-0.4252854446277092,Raw Materials Prices (YoY),Inflation,0.034657558383766995,-0.014739355126951136
BOC,2020-12-01,retail_sales_ex_autos_mom,-1.1508723229990634,Retail Sales Ex Autos (MoM),Growth,0.02571506160918533,-0.029594752690227155
BOC,2020-12-01,retail_sales_mom,-0.7445132288052998,Retail Sales (MoM),Growth,-0.014649595799198133,0.010906817869153557
BOC,2020-12-01,retail_sales_yoy,-0.1286829806181622,Retail Sales (YoY),Growth,0.0321505005935775,-0.0041372222447475454
BOC,2020-12-01,unemployment_rate,1.0208665166268822,Unemployment Rate,Labor,-0.011675734969682432,-0.01191936688755838
BOC,2020-12-01,wholesale_sales_mom,-0.4988344218951758,Wholesale Sales (MoM),Growth,0.006155659238182199,-0.003070654717462315
BOC,2021-01-01,balance_of_trade,0.685841952807026,Balance of Trade,Trade,0.03713303082914203,0.02546739037750227
BOC,2021-01-01,budget_balance,-0.987228041071089,Budget Balance,Growth,0.022165876299863732,-0.02188277463813855
BOC,2021-01-01,core_cpi_yoy,-0.866736961689829,Core CPI (YoY),Inflation,-0.006547838696679133,0.005675253817594762
BOC,2021-01-01,cpi_headline_mom,0.7436792017371403,Headline CPI (MoM),Inflation,0.035063565123467394,0.026076044121078466
BOC,2021-01-01,cpi_headline_yoy,-1.0674683282358317,Headline CPI (YoY),Inflation,0.05360716239741377,-0.05722394802583401
BOC,2021-01-01,employment_change,-0.7700700202895868,Employment Change,Labor,0.03920873241256186,-0.030193469364470493
BOC,2021-01-01,exports,-0.9008524697051288,Exports,Trade,0.0333564046264773,-0.030049199488245658
BOC,2021-01-01,full_time_employment_change,-0.0341869533561672,Full-Time Employment Change,Labor,0.03840365823982607,-0.00131290407295112
BOC,2021-01-01,gdp_mom,0.2884312728994141,GDP (MoM),Growth,0.0059200559884897315,0.0017075292843958926
BOC,2021-01-01,imports,-1.1611126021174174,Imports,Trade,0.0249490385005521,-0.02896864301370368
BOC,2021-01-01,ivey_pmi_sa,-0.7274355690862931,Ivey PMI s.a.,Growth,0.033055452820978534,-0.024045712134233635
BOC,2021-01-01,manufacturing_sales_mom,0.5842603913498922,Manufacturing Sales (MoM),Growth,0.006562575809665964,0.0038342531108187714
BOC,2021-01-01,new_housing_price_index_mom,0.8358801047998028,New Housing Price Index (MoM),Housing,-0.026984602905068197,-0.022555892704269467
BOC,2021-01-01,new_housing_price_index_yoy,0.3511104728744397,New Housing Price Index (YoY),Housing,0.012696870154716435,0.0044580040840478475
BOC,2021-01-01,new_motor_vehicle_sales,-1.7087774686575006,New Motor Vehicle Sales,Growth,0.012902579506752465,-0.02204763714870062
BOC,2021-01-01,part_time_employment_change,-1.769987114576614,Part-Time Employment Change,Labor,-0.0030072234519313013,0.005322746760571009
BOC,2021-01-01,ppi_mom,1.2550484973526557,PPI (MoM),Inflation,0.009163410622786333,0.011500524732753351
BOC,2021-01-01,ppi_yoy,-0.1021092384511488,PPI (YoY),Inflation,0.03754761994627243,-0.003833958878367043
BOC,2021-01-01,raw_materials_prices_mom,1.0815047903125818,Raw Materials Prices (MoM),Inflation,-0.010871747526889766,-0.011757847029400246
BOC,2021-01-01,raw_materials_prices_yoy,-0.0378294210648691,Raw Materials Prices (YoY),Inflation,0.034657558383766995,-0.0013110753691798057
BOC,2021-01-01,retail_sales_ex_autos_mom,-0.4015672371175404,Retail Sales Ex Autos (MoM),Growth,0.02571506160918533,-0.010326326242707885
BOC,2021-01-01,retail_sales_mom,-0.2932360767604989,Retail Sales (MoM),Growth,-0.014649595799198133,0.0042957899982839455
BOC,2021-01-01,retail_sales_yoy,-0.3468396946100066,Retail Sales (YoY),Growth,0.0321505005935775,-0.011151069807435255
BOC,2021-01-01,unemployment_rate,1.4664421391029374,Unemployment Rate,Labor,-0.011675734969682432,-0.017121789764540075
BOC,2021-01-01,wholesale_sales_mom,0.9895948172572137,Wholesale Sales (MoM),Growth,0.006155659238182199,0.0060916084789065916
BOC,2021-02-01,balance_of_trade,0.5462813788658321,Balance of Trade,Trade,0.03713303082914203,0.02028508328281116
BOC,2021-02-01,budget_balance,-0.5288740867480973,Budget Balance,Growth,0.022165876299863732,-0.011722957585061726
BOC,2021-02-01,core_cpi_yoy,-1.1326179267288887,Core CPI (YoY),Inflation,-0.006547838696679133,0.007416199489187909
