ranking_id,date,window_months,currency,country_code,cb_strength_score,cb_pressure_normalized,strength_label,trend_label,confidence,rank_strongest,rank_weakest,percentile_rank,processed_at
43,2020-01-31,2,CAD,CA,-0.889797,-0.061864,mild_weak,flat,low,3,1,0.000000,2026-05-03T19:58:36.884106+00:00
44,2020-01-31,2,AUD,AU,-0.192437,-0.034937,neutral,flat,low,2,2,0.500000,2026-05-03T19:58:36.884106+00:00
45,2020-01-31,2,EUR,EU,1.082234,0.014282,strong,flat,medium,1,3,1.000000,2026-05-03T19:58:36.884106+00:00
46,2020-01-31,3,CAD,CA,-0.889797,-0.061864,mild_weak,flat,low,3,1,0.000000,2026-05-03T19:58:36.884106+00:00
47,2020-01-31,3,AUD,AU,-0.192437,-0.034937,neutral,flat,low,2,2,0.500000,2026-05-03T19:58:36.884106+00:00
48,2020-01-31,3,EUR,EU,1.082234,0.014282,strong,flat,medium,1,3,1.000000,2026-05-03T19:58:36.884106+00:00
49,2020-02-02,1,AUD,AU,0.000000,-0.069269,neutral,flat,low,1,1,0.000000,2026-05-03T19:58:36.884106+00:00
50,2020-02-02,2,AUD,AU,0.000000,-0.069269,neutral,flat,low,1,1,0.000000,2026-05-03T19:58:36.884106+00:00
51,2020-02-02,3,AUD,AU,0.000000,-0.069269,neutral,flat,low,1,1,0.000000,2026-05-03T19:58:36.884106+00:00
52,2020-02-03,1,AUD,AU,-1.057146,-0.055762,weak,flat,low,3,1,0.000000,2026-05-03T19:58:36.884106+00:00
53,2020-02-03,1,EUR,EU,0.126289,0.012326,neutral,flat,medium,2,2,0.500000,2026-05-03T19:58:36.884106+00:00
54,2020-02-03,1,JPY,JP,0.930856,0.058616,mild_strong,flat,low,1,3,1.000000,2026-05-03T19:58:36.884106+00:00
55,2020-02-03,2,AUD,AU,-1.057146,-0.055762,weak,flat,low,3,1,0.000000,2026-05-03T19:58:36.884106+00:00
56,2020-02-03,2,EUR,EU,0.126289,0.012326,neutral,flat,medium,2,2,0.500000,2026-05-03T19:58:36.884106+00:00
57,2020-02-03,2,JPY,JP,0.930856,0.058616,mild_strong,flat,low,1,3,1.000000,2026-05-03T19:58:36.884106+00:00
58,2020-02-03,3,AUD,AU,-1.057146,-0.055762,weak,flat,low,3,1,0.000000,2026-05-03T19:58:36.884106+00:00
59,2020-02-03,3,EUR,EU,0.126289,0.012326,neutral,flat,medium,2,2,0.500000,2026-05-03T19:58:36.884106+00:00
60,2020-02-03,3,JPY,JP,0.930856,0.058616,mild_strong,flat,low,1,3,1.000000,2026-05-03T19:58:36.884106+00:00
61,2020-02-04,1,AUD,AU,0.000000,-0.031979,neutral,flat,low,1,1,0.000000,2026-05-03T19:58:36.884106+00:00
62,2020-02-04,2,AUD,AU,0.000000,-0.031979,neutral,flat,low,1,1,0.000000,2026-05-03T19:58:36.884106+00:00
63,2020-02-04,3,AUD,AU,0.000000,-0.031979,neutral,flat,low,1,1,0.000000,2026-05-03T19:58:36.884106+00:00
64,2020-02-05,1,CAD,CA,-0.707107,-0.060445,mild_weak,flat,low,2,1,0.000000,2026-05-03T19:58:36.884106+00:00
65,2020-02-05,1,JPY,JP,0.707107,0.062510,mild_strong,flat,low,1,2,1.000000,2026-05-03T19:58:36.884106+00:00
66,2020-02-05,2,CAD,CA,-0.707107,-0.060445,mild_weak,flat,low,2,1,0.000000,2026-05-03T19:58:36.884106+00:00
67,2020-02-05,2,JPY,JP,0.707107,0.062510,mild_strong,flat,low,1,2,1.000000,2026-05-03T19:58:36.884106+00:00
68,2020-02-05,3,CAD,CA,-0.707107,-0.060445,mild_weak,flat,low,2,1,0.000000,2026-05-03T19:58:36.884106+00:00
69,2020-02-05,3,JPY,JP,0.707107,0.062510,mild_strong,flat,low,1,2,1.000000,2026-05-03T19:58:36.884106+00:00
70,2020-02-06,1,AUD,AU,-0.707107,-0.010009,mild_weak,flat,low,2,1,0.000000,2026-05-03T19:58:36.884106+00:00
71,2020-02-06,1,JPY,JP,0.707107,0.061870,mild_strong,flat,low,1,2,1.000000,2026-05-03T19:58:36.884106+00:00
72,2020-02-06,2,AUD,AU,-0.707107,-0.010009,mild_weak,flat,low,2,1,0.000000,2026-05-03T19:58:36.884106+00:00
73,2020-02-06,2,JPY,JP,0.707107,0.061870,mild_strong,flat,low,1,2,1.000000,2026-05-03T19:58:36.884106+00:00
74,2020-02-06,3,AUD,AU,-0.707107,-0.010009,mild_weak,flat,low,2,1,0.000000,2026-05-03T19:58:36.884106+00:00
75,2020-02-06,3,JPY,JP,0.707107,0.061870,mild_strong,flat,low,1,2,1.000000,2026-05-03T19:58:36.884106+00:00
76,2020-02-07,1,CAD,CA,-1.041095,-0.103088,weak,flat,medium,3,1,0.000000,2026-05-03T19:58:36.884106+00:00
77,2020-02-07,1,GBP,UK,0.088007,-0.015741,neutral,flat,low,2,2,0.500000,2026-05-03T19:58:36.884106+00:00
78,2020-02-07,1,JPY,JP,0.953088,0.051182,mild_strong,flat,low,1,3,1.000000,2026-05-03T19:58:36.884106+00:00
79,2020-02-07,2,CAD,CA,-1.041095,-0.103088,weak,flat,low,3,1,0.000000,2026-05-03T19:58:36.884106+00:00
80,2020-02-07,2,GBP,UK,0.088007,-0.015741,neutral,flat,low,2,2,0.500000,2026-05-03T19:58:36.884106+00:00
81,2020-02-07,2,JPY,JP,0.953088,0.051182,mild_strong,flat,low,1,3,1.000000,2026-05-03T19:58:36.884106+00:00
82,2020-02-07,3,CAD,CA,-1.041095,-0.103088,weak,flat,low,3,1,0.000000,2026-05-03T19:58:36.884106+00:00
83,2020-02-07,3,GBP,UK,0.088007,-0.015741,neutral,flat,low,2,2,0.500000,2026-05-03T19:58:36.884106+00:00
84,2020-02-07,3,JPY,JP,0.953088,0.051182,mild_strong,flat,low,1,3,1.000000,2026-05-03T19:58:36.884106+00:00
85,2020-02-09,1,JPY,JP,0.000000,0.930360,neutral,flat,low,1,1,0.000000,2026-05-03T19:58:36.884106+00:00
86,2020-02-09,2,JPY,JP,0.000000,0.930360,neutral,flat,low,1,1,0.000000,2026-05-03T19:58:36.884106+00:00
87,2020-02-09,3,JPY,JP,0.000000,0.930360,neutral,flat,low,1,1,0.000000,2026-05-03T19:58:36.884106+00:00
88,2020-02-10,1,CHF,CH,-0.707107,-0.022268,mild_weak,flat,low,2,1,0.000000,2026-05-03T19:58:36.884106+00:00
89,2020-02-10,1,JPY,JP,0.707107,1.628711,mild_strong,flat,low,1,2,1.000000,2026-05-03T19:58:36.884106+00:00
90,2020-02-10,2,CHF,CH,-0.707107,-0.022268,mild_weak,flat,low,2,1,0.000000,2026-05-03T19:58:36.884106+00:00
91,2020-02-10,2,JPY,JP,0.707107,1.628711,mild_strong,flat,low,1,2,1.000000,2026-05-03T19:58:36.884106+00:00
92,2020-02-10,3,CHF,CH,-0.707107,-0.022268,mild_weak,flat,low,2,1,0.000000,2026-05-03T19:58:36.884106+00:00
93,2020-02-10,3,JPY,JP,0.707107,1.628711,mild_strong,flat,low,1,2,1.000000,2026-05-03T19:58:36.884106+00:00
94,2020-02-11,1,AUD,AU,-0.707107,-0.008970,mild_weak,flat,low,2,1,0.000000,2026-05-03T19:58:36.884106+00:00
95,2020-02-11,1,GBP,UK,0.707107,0.021542,mild_strong,flat,low,1,2,1.000000,2026-05-03T19:58:36.884106+00:00
96,2020-02-11,2,AUD,AU,-0.707107,-0.008970,mild_weak,flat,low,2,1,0.000000,2026-05-03T19:58:36.884106+00:00
97,2020-02-11,2,GBP,UK,0.707107,0.021542,mild_strong,flat,low,1,2,1.000000,2026-05-03T19:58:36.884106+00:00
98,2020-02-11,3,AUD,AU,-0.707107,-0.008970,mild_weak,flat,low,2,1,0.000000,2026-05-03T19:58:36.884106+00:00
99,2020-02-11,3,GBP,UK,0.707107,0.021542,mild_strong,flat,low,1,2,1.000000,2026-05-03T19:58:36.884106+00:00
100,2020-02-12,1,JPY,JP,0.000000,2.454612,neutral,flat,medium,1,1,0.000000,2026-05-03T19:58:36.884106+00:00
101,2020-02-12,2,JPY,JP,0.000000,2.454612,neutral,flat,medium,1,1,0.000000,2026-05-03T19:58:36.884106+00:00
102,2020-02-12,3,JPY,JP,0.000000,2.454612,neutral,flat,medium,1,1,0.000000,2026-05-03T19:58:36.884106+00:00
103,2020-02-13,1,AUD,AU,-0.707107,-0.008120,mild_weak,flat,low,2,1,0.000000,2026-05-03T19:58:36.884106+00:00
104,2020-02-13,1,JPY,JP,0.707107,2.929426,mild_strong,flat,medium,1,2,1.000000,2026-05-03T19:58:36.884106+00:00
105,2020-02-13,2,AUD,AU,-0.707107,-0.008120,mild_weak,flat,low,2,1,0.000000,2026-05-03T19:58:36.884106+00:00
106,2020-02-13,2,JPY,JP,0.707107,2.929426,mild_strong,flat,medium,1,2,1.000000,2026-05-03T19:58:36.884106+00:00
107,2020-02-13,3,AUD,AU,-0.707107,-0.008120,mild_weak,flat,low,2,1,0.000000,2026-05-03T19:58:36.884106+00:00
108,2020-02-13,3,JPY,JP,0.707107,2.929426,mild_strong,flat,medium,1,2,1.000000,2026-05-03T19:58:36.884106+00:00
109,2020-02-14,1,CAD,CA,-0.544793,-0.117527,mild_weak,flat,high,4,1,0.000000,2026-05-03T19:58:36.884106+00:00
110,2020-02-14,1,CHF,CH,-0.488312,-0.022268,mild_weak,flat,medium,3,2,0.333333,2026-05-03T19:58:36.884106+00:00
111,2020-02-14,1,EUR,EU,-0.466071,0.015243,mild_weak,flat,high,2,3,0.666667,2026-05-03T19:58:36.884106+00:00
112,2020-02-14,1,JPY,JP,1.499176,3.329743,strong,flat,medium,1,4,1.000000,2026-05-03T19:58:36.884106+00:00
113,2020-02-14,2,CAD,CA,-0.544793,-0.117527,mild_weak,flat,low,4,1,0.000000,2026-05-03T19:58:36.884106+00:00
114,2020-02-14,2,CHF,CH,-0.488312,-0.022268,mild_weak,flat,low,3,2,0.333333,2026-05-03T19:58:36.884106+00:00
115,2020-02-14,2,EUR,EU,-0.466071,0.015243,mild_weak,flat,medium,2,3,0.666667,2026-05-03T19:58:36.884106+00:00
116,2020-02-14,2,JPY,JP,1.499176,3.329743,strong,flat,medium,1,4,1.000000,2026-05-03T19:58:36.884106+00:00
117,2020-02-14,3,CAD,CA,-0.544793,-0.117527,mild_weak,flat,low,4,1,0.000000,2026-05-03T19:58:36.884106+00:00
118,2020-02-14,3,CHF,CH,-0.488312,-0.022268,mild_weak,flat,low,3,2,0.333333,2026-05-03T19:58:36.884106+00:00
119,2020-02-14,3,EUR,EU,-0.466071,0.015243,mild_weak,flat,medium,2,3,0.666667,2026-05-03T19:58:36.884106+00:00
120,2020-02-14,3,JPY,JP,1.499176,3.329743,strong,flat,medium,1,4,1.000000,2026-05-03T19:58:36.884106+00:00
121,2020-02-16,1,JPY,JP,0.000000,3.671771,neutral,flat,medium,1,1,0.000000,2026-05-03T19:58:36.884106+00:00
122,2020-02-16,2,JPY,JP,0.000000,3.671771,neutral,flat,medium,1,1,0.000000,2026-05-03T19:58:36.884106+00:00
123,2020-02-16,3,JPY,JP,0.000000,3.671771,neutral,flat,medium,1,1,0.000000,2026-05-03T19:58:36.884106+00:00
124,2020-02-17,1,JPY,JP,0.000000,3.963947,neutral,flat,medium,1,1,0.000000,2026-05-03T19:58:36.884106+00:00
125,2020-02-17,2,JPY,JP,0.000000,3.963947,neutral,flat,medium,1,1,0.000000,2026-05-03T19:58:36.884106+00:00
126,2020-02-17,3,JPY,JP,0.000000,3.963947,neutral,flat,medium,1,1,0.000000,2026-05-03T19:58:36.884106+00:00
127,2020-02-18,1,CAD,CA,-0.549798,-0.125302,mild_weak,flat,high,4,1,0.000000,2026-05-03T19:58:36.884106+00:00
128,2020-02-18,1,GBP,UK,-0.479445,0.022880,mild_weak,flat,medium,3,2,0.333333,2026-05-03T19:58:36.884106+00:00
129,2020-02-18,1,EUR,EU,-0.469803,0.043189,mild_weak,flat,high,2,3,0.666667,2026-05-03T19:58:36.884106+00:00
130,2020-02-18,1,JPY,JP,1.499046,4.190074,strong,flat,medium,1,4,1.000000,2026-05-03T19:58:36.884106+00:00
131,2020-02-18,2,CAD,CA,-0.549685,-0.125302,mild_weak,flat,medium,4,1,0.000000,2026-05-03T19:58:36.884106+00:00
132,2020-02-18,2,GBP,UK,-0.479335,0.022880,mild_weak,flat,low,3,2,0.333333,2026-05-03T19:58:36.884106+00:00
133,2020-02-18,2,EUR,EU,-0.470031,0.042477,mild_weak,flat,medium,2,3,0.666667,2026-05-03T19:58:36.884106+00:00
134,2020-02-18,2,JPY,JP,1.499051,4.190074,strong,flat,medium,1,4,1.000000,2026-05-03T19:58:36.884106+00:00
135,2020-02-18,3,CAD,CA,-0.549685,-0.125302,mild_weak,flat,medium,4,1,0.000000,2026-05-03T19:58:36.884106+00:00
136,2020-02-18,3,GBP,UK,-0.479335,0.022880,mild_weak,flat,low,3,2,0.333333,2026-05-03T19:58:36.884106+00:00
137,2020-02-18,3,EUR,EU,-0.470031,0.042477,mild_weak,flat,medium,2,3,0.666667,2026-05-03T19:58:36.884106+00:00
138,2020-02-18,3,JPY,JP,1.499051,4.190074,strong,flat,medium,1,4,1.000000,2026-05-03T19:58:36.884106+00:00
139,2020-02-19,1,CAD,CA,-0.514342,-0.106442,mild_weak,flat,high,5,1,0.000000,2026-05-03T19:58:36.884106+00:00
140,2020-02-19,1,AUD,AU,-0.463657,-0.007411,mild_weak,flat,low,4,2,0.250000,2026-05-03T19:58:36.884106+00:00
141,2020-02-19,1,EUR,EU,-0.424108,0.069861,mild_weak,flat,high,3,3,0.500000,2026-05-03T19:58:36.884106+00:00
142,2020-02-19,1,GBP,UK,-0.384684,0.146889,mild_weak,flat,high,2,4,0.750000,2026-05-03T19:58:36.884106+00:00
143,2020-02-19,1,JPY,JP,1.786792,4.389597,strong,flat,medium,1,5,1.000000,2026-05-03T19:58:36.884106+00:00
144,2020-02-19,2,CAD,CA,-0.514223,-0.106442,mild_weak,flat,medium,5,1,0.000000,2026-05-03T19:58:36.884106+00:00
145,2020-02-19,2,AUD,AU,-0.463541,-0.007411,mild_weak,flat,low,4,2,0.250000,2026-05-03T19:58:36.884106+00:00
146,2020-02-19,2,EUR,EU,-0.424461,0.068946,mild_weak,flat,medium,3,3,0.500000,2026-05-03T19:58:36.884106+00:00
147,2020-02-19,2,GBP,UK,-0.384571,0.146889,mild_weak,flat,low,2,4,0.750000,2026-05-03T19:58:36.884106+00:00
148,2020-02-19,2,JPY,JP,1.786797,4.389597,strong,flat,medium,1,5,1.000000,2026-05-03T19:58:36.884106+00:00
149,2020-02-19,3,CAD,CA,-0.514223,-0.106442,mild_weak,flat,medium,5,1,0.000000,2026-05-03T19:58:36.884106+00:00
150,2020-02-19,3,AUD,AU,-0.463541,-0.007411,mild_weak,flat,low,4,2,0.250000,2026-05-03T19:58:36.884106+00:00
151,2020-02-19,3,EUR,EU,-0.424461,0.068946,mild_weak,flat,medium,3,3,0.500000,2026-05-03T19:58:36.884106+00:00
152,2020-02-19,3,GBP,UK,-0.384571,0.146889,mild_weak,flat,low,2,4,0.750000,2026-05-03T19:58:36.884106+00:00
153,2020-02-19,3,JPY,JP,1.786797,4.389597,strong,flat,medium,1,5,1.000000,2026-05-03T19:58:36.884106+00:00
154,2020-02-20,1,AUD,AU,-0.500540,-0.199041,mild_weak,flat,medium,6,1,0.000000,2026-05-03T19:58:36.884106+00:00
155,2020-02-20,1,CAD,CA,-0.443600,-0.092760,mild_weak,flat,high,5,2,0.200000,2026-05-03T19:58:36.884106+00:00
156,2020-02-20,1,CHF,CH,-0.405833,-0.022268,mild_weak,flat,medium,4,3,0.400000,2026-05-03T19:58:36.884106+00:00
157,2020-02-20,1,EUR,EU,-0.346040,0.089336,neutral,flat,high,3,4,0.600000,2026-05-03T19:58:36.884106+00:00
158,2020-02-20,1,GBP,UK,-0.341533,0.097748,neutral,flat,high,2,5,0.800000,2026-05-03T19:58:36.884106+00:00
159,2020-02-20,1,JPY,JP,2.037545,4.538333,strong,flat,medium,1,6,1.000000,2026-05-03T19:58:36.884106+00:00
160,2020-02-20,2,AUD,AU,-0.500429,-0.199041,mild_weak,flat,medium,6,1,0.000000,2026-05-03T19:58:36.884106+00:00
161,2020-02-20,2,CAD,CA,-0.443491,-0.092760,mild_weak,flat,medium,5,2,0.200000,2026-05-03T19:58:36.884106+00:00
162,2020-02-20,2,CHF,CH,-0.405725,-0.022268,mild_weak,flat,low,4,3,0.400000,2026-05-03T19:58:36.884106+00:00
163,2020-02-20,2,EUR,EU,-0.346486,0.088307,neutral,flat,medium,3,4,0.600000,2026-05-03T19:58:36.884106+00:00
164,2020-02-20,2,GBP,UK,-0.341428,0.097748,neutral,flat,low,2,5,0.800000,2026-05-03T19:58:36.884106+00:00
165,2020-02-20,2,JPY,JP,2.037559,4.538333,strong,flat,medium,1,6,1.000000,2026-05-03T19:58:36.884106+00:00
166,2020-02-20,3,AUD,AU,-0.500429,-0.199041,mild_weak,flat,medium,6,1,0.000000,2026-05-03T19:58:36.884106+00:00
167,2020-02-20,3,CAD,CA,-0.443491,-0.092760,mild_weak,flat,medium,5,2,0.200000,2026-05-03T19:58:36.884106+00:00
168,2020-02-20,3,CHF,CH,-0.405725,-0.022268,mild_weak,flat,low,4,3,0.400000,2026-05-03T19:58:36.884106+00:00
169,2020-02-20,3,EUR,EU,-0.346486,0.088307,neutral,flat,medium,3,4,0.600000,2026-05-03T19:58:36.884106+00:00
170,2020-02-20,3,GBP,UK,-0.341428,0.097748,neutral,flat,low,2,5,0.800000,2026-05-03T19:58:36.884106+00:00
171,2020-02-20,3,JPY,JP,2.037559,4.538333,strong,flat,medium,1,6,1.000000,2026-05-03T19:58:36.884106+00:00
172,2020-02-21,1,CAD,CA,-0.553908,-0.079974,mild_weak,flat,high,4,1,0.000000,2026-05-03T19:58:36.884106+00:00
173,2020-02-21,1,GBP,UK,-0.490851,0.066034,mild_weak,flat,high,3,2,0.333333,2026-05-03T19:58:36.884106+00:00
174,2020-02-21,1,EUR,EU,-0.453963,0.151450,mild_weak,flat,high,2,3,0.666667,2026-05-03T19:58:36.884106+00:00
175,2020-02-21,1,JPY,JP,1.498722,4.672910,strong,flat,medium,1,4,1.000000,2026-05-03T19:58:36.884106+00:00
176,2020-02-21,2,CAD,CA,-0.552500,-0.079974,mild_weak,flat,medium,4,1,0.000000,2026-05-03T19:58:36.884106+00:00
177,2020-02-21,2,GBP,UK,-0.489484,0.066034,mild_weak,flat,medium,3,2,0.333333,2026-05-03T19:58:36.884106+00:00
178,2020-02-21,2,EUR,EU,-0.456834,0.141683,mild_weak,flat,high,2,3,0.666667,2026-05-03T19:58:36.884106+00:00
179,2020-02-21,2,JPY,JP,1.498817,4.672910,strong,flat,medium,1,4,1.000000,2026-05-03T19:58:36.884106+00:00
180,2020-02-21,3,CAD,CA,-0.552500,-0.079974,mild_weak,flat,medium,4,1,0.000000,2026-05-03T19:58:36.884106+00:00
181,2020-02-21,3,GBP,UK,-0.489484,0.066034,mild_weak,flat,medium,3,2,0.333333,2026-05-03T19:58:36.884106+00:00
182,2020-02-21,3,EUR,EU,-0.456834,0.141683,mild_weak,flat,high,2,3,0.666667,2026-05-03T19:58:36.884106+00:00
183,2020-02-21,3,JPY,JP,1.498817,4.672910,strong,flat,medium,1,4,1.000000,2026-05-03T19:58:36.884106+00:00
184,2020-02-24,1,CAD,CA,0.000000,-0.065560,neutral,flat,high,1,1,0.000000,2026-05-03T19:58:36.884106+00:00
185,2020-02-24,2,CAD,CA,0.000000,-0.065560,neutral,flat,medium,1,1,0.000000,2026-05-03T19:58:36.884106+00:00
186,2020-02-24,3,CAD,CA,0.000000,-0.065560,neutral,flat,medium,1,1,0.000000,2026-05-03T19:58:36.884106+00:00
187,2020-02-25,1,JPY,JP,0.000000,5.310459,neutral,improving,medium,1,1,0.000000,2026-05-03T19:58:36.884106+00:00
188,2020-02-25,2,JPY,JP,0.000000,4.799862,neutral,flat,medium,1,1,0.000000,2026-05-03T19:58:36.884106+00:00
189,2020-02-25,3,JPY,JP,0.000000,4.799862,neutral,flat,medium,1,1,0.000000,2026-05-03T19:58:36.884106+00:00
190,2020-02-26,1,CHF,CH,0.000000,-0.022268,neutral,flat,medium,1,1,0.000000,2026-05-03T19:58:36.884106+00:00
191,2020-02-26,2,CHF,CH,0.000000,-0.022268,neutral,flat,low,1,1,0.000000,2026-05-03T19:58:36.884106+00:00
192,2020-02-26,3,CHF,CH,0.000000,-0.022268,neutral,flat,low,1,1,0.000000,2026-05-03T19:58:36.884106+00:00
193,2020-02-27,1,EUR,EU,-0.600611,0.249596,mild_weak,improving,high,3,1,0.000000,2026-05-03T19:58:36.884106+00:00
194,2020-02-27,1,NZD,NZ,-0.553772,0.386600,mild_weak,flat,low,2,2,0.500000,2026-05-03T19:58:36.884106+00:00
195,2020-02-27,1,JPY,JP,1.154384,5.382962,strong,improving,high,1,3,1.000000,2026-05-03T19:58:36.884106+00:00
196,2020-02-27,2,EUR,EU,-0.613552,0.192303,mild_weak,flat,high,3,1,0.000000,2026-05-03T19:58:36.884106+00:00
197,2020-02-27,2,NZD,NZ,-0.540376,0.386600,mild_weak,flat,low,2,2,0.500000,2026-05-03T19:58:36.884106+00:00
198,2020-02-27,2,JPY,JP,1.153927,4.885314,strong,flat,high,1,3,1.000000,2026-05-03T19:58:36.884106+00:00
199,2020-02-27,3,EUR,EU,-0.613552,0.192303,mild_weak,flat,high,3,1,0.000000,2026-05-03T19:58:36.884106+00:00
200,2020-02-27,3,NZD,NZ,-0.540376,0.386600,mild_weak,flat,low,2,2,0.500000,2026-05-03T19:58:36.884106+00:00
201,2020-02-27,3,JPY,JP,1.153927,4.885314,strong,flat,high,1,3,1.000000,2026-05-03T19:58:36.884106+00:00
202,2020-02-28,1,AUD,AU,-1.457858,-0.340530,weak,weakening,medium,4,1,0.000000,2026-05-03T19:58:36.884106+00:00
203,2020-02-28,1,CAD,CA,0.244440,-0.050218,neutral,flat,high,3,2,0.333333,2026-05-03T19:58:36.884106+00:00
