central_bank_code,target_family,target_indicator_key,target_indicator,indicator_key,indicator,indicator_category,importance,observations,pearson_correlation,spearman_correlation,abs_pearson,abs_spearman,direction,same_macro_theme,pca_score,model_importance_score,coverage_score,raw_weight_score,economic_direction_for_currency,justification,normalized_weight,weight_pct
ECB,inflation,core_cpi_yoy,Core HICP (YoY),consumer_inflation_expectation,Consumer Inflation Expectation,Inflation,2,76,0.009280283319297566,-0.029392215640428834,0.009280283319297566,0.029392215640428834,positive,True,0.5136478377762088,0.026114479957927,1.0,0.3255586005164402,policy_tightening_positive_but_regime_dependent,weak positive Pearson correlation (0.01); Spearman -0.03; same macro theme; PCA loading signal 0.51; model importance signal 0.03,0.06739302468171661,6.739302468171661
ECB,inflation,core_cpi_yoy,Core HICP (YoY),manufacturing_pmi,Manufacturing PMI,Growth,2,68,-0.30771715807820793,-0.3963494558573991,0.30771715807820793,0.3963494558573991,negative,False,0.3022947039742371,0.0130536993573064,0.9444444444444444,0.3226616586454914,disinflationary_or_growth_sensitive,weak negative Pearson correlation (-0.31); Spearman -0.40; PCA loading signal 0.30; model importance signal 0.01,0.06679333640838994,6.679333640838994
BOC,gdp_growth,retail_sales_mom,Retail Sales (MoM),gdp_mom,GDP (MoM),Growth,1,68,0.8962279805045784,0.4480534564698185,0.8962279805045784,0.4480534564698185,positive,True,0.3029410682734002,0.0,0.9444444444444444,0.6274529221789937,currency_positive,strong positive Pearson correlation (0.90); Spearman 0.45; same macro theme; PCA loading signal 0.30,0.06666806622992728,6.666806622992729
ECB,unemployment,unemployment_rate,Unemployment Rate,construction_output_yoy,Construction Output (YoY),Growth,2,75,0.07924160122917913,-0.05228488322374698,0.07924160122917913,0.05228488322374698,positive,False,0.5252143092080225,0.0219811542781978,1.0,0.23250482889824078,currency_negative,weak positive Pearson correlation (0.08); Spearman -0.05; PCA loading signal 0.53; model importance signal 0.02,0.06405411780902606,6.4054117809026065
BOC,unemployment,unemployment_rate,Unemployment Rate,budget_balance,Budget Balance,Growth,3,73,-0.6927581555027283,-0.5917427504474639,0.6927581555027283,0.5917427504474639,negative,False,0.2516379907446192,0.0409054449991145,1.0,0.47842476072419227,currency_positive,moderate negative Pearson correlation (-0.69); Spearman -0.59; PCA loading signal 0.25; model importance signal 0.04,0.06400352359645999,6.400352359645998
RBA,inflation,cpi_headline_yoy,Headline CPI (YoY),rba_trimmed_mean_cpi_yoy,RBA Trimmed Mean CPI (YoY),Inflation,1,25,0.9285343013664851,0.9013487475915222,0.9285343013664851,0.9013487475915222,positive,True,0.2722453031235465,0.0235614952446904,0.3472222222222222,0.6665618709043079,policy_tightening_positive_but_regime_dependent,strong positive Pearson correlation (0.93); Spearman 0.90; same macro theme; PCA loading signal 0.27; model importance signal 0.02,0.06340709730456194,6.340709730456194
RBA,inflation,cpi_headline_yoy,Headline CPI (YoY),rba_weighted_median_cpi_qoq,RBA Weighted Median CPI (QoQ),Inflation,1,24,0.9187466941855446,0.9030010074684027,0.9187466941855446,0.9030010074684027,positive,True,0.2903748810399528,0.0144852457647691,0.3333333333333333,0.6642875134498796,policy_tightening_positive_but_regime_dependent,strong positive Pearson correlation (0.92); Spearman 0.90; same macro theme; PCA loading signal 0.29; model importance signal 0.01,0.06319074768915019,6.319074768915018
BOJ,inflation,cpi_headline_yoy,Headline CPI (YoY),core_cpi_yoy,Core CPI (YoY),Inflation,1,73,0.9641675761607629,0.9436265156097812,0.9641675761607629,0.9436265156097812,positive,True,0.2359210660315635,0.042920282812916,1.0,0.7477378159340622,policy_tightening_positive_but_regime_dependent,strong positive Pearson correlation (0.96); Spearman 0.94; same macro theme; PCA loading signal 0.24; model importance signal 0.04,0.06299023408892285,6.2990234088922845
RBA,inflation,cpi_headline_yoy,Headline CPI (YoY),rba_trimmed_mean_cpi_qoq,RBA Trimmed Mean CPI (QoQ),Inflation,1,25,0.9147405091064488,0.8935504092161578,0.9147405091064488,0.8935504092161578,positive,True,0.2827402185054314,0.0,0.3472222222222222,0.658747696128366,policy_tightening_positive_but_regime_dependent,strong positive Pearson correlation (0.91); Spearman 0.89; same macro theme; PCA loading signal 0.28,0.06266376924755683,6.266376924755683
SNB,inflation,cpi_headline_yoy,Headline CPI (YoY),balance_of_trade,Balance of Trade,Growth,2,74,-0.19498004909852337,-0.1591941553020727,0.19498004909852337,0.1591941553020727,negative,False,0.2539915897582966,0.0472409489013103,1.0,0.24408229325968772,disinflationary_or_growth_sensitive,weak negative Pearson correlation (-0.19); Spearman -0.16; PCA loading signal 0.25; model importance signal 0.05,0.0625545340837988,6.255453408379879
