central_bank_code,target_family,target_indicator_key,target_indicator,indicator_key,indicator,indicator_category,importance,observations,pearson_correlation,spearman_correlation,abs_pearson,abs_spearman,direction,same_macro_theme,pca_score,model_importance_score,coverage_score,raw_weight_score,economic_direction_for_currency,justification,normalized_weight,weight_pct
BOC,inflation,core_cpi_yoy,Core CPI (YoY),raw_materials_prices_yoy,Raw Materials Prices (YoY),Inflation,3,75,0.40373858789627476,0.4195700479102324,0.40373858789627476,0.4195700479102324,positive,True,0.2611480041221345,0.0,1.0,0.47204222669291307,policy_tightening_positive_but_regime_dependent,moderate positive Pearson correlation (0.40); Spearman 0.42; same macro theme; PCA loading signal 0.26,0.05277382485256048,5.277382485256048
BOC,inflation,core_cpi_yoy,Core CPI (YoY),core_cpi_mom,Core CPI (MoM),Inflation,2,45,0.3815391131756947,0.3244457088498188,0.3815391131756947,0.3244457088498188,positive,True,0.3347891241472648,0.0189537532211449,0.625,0.42533505611677447,policy_tightening_positive_but_regime_dependent,weak positive Pearson correlation (0.38); Spearman 0.32; same macro theme; PCA loading signal 0.33; model importance signal 0.02,0.047552012268943136,4.755201226894314
BOC,inflation,core_cpi_yoy,Core CPI (YoY),balance_of_trade,Balance of Trade,Trade,2,75,0.5091802690711111,0.5425994051164706,0.5091802690711111,0.5425994051164706,positive,False,0.2338486366816714,0.0320809841179821,1.0,0.4088204836473853,policy_tightening_positive_but_regime_dependent,moderate positive Pearson correlation (0.51); Spearman 0.54; PCA loading signal 0.23; model importance signal 0.03,0.045705700422817894,4.57057004228179
BOC,inflation,core_cpi_yoy,Core CPI (YoY),exports,Exports,Trade,2,75,0.503703637614988,0.4659664420581625,0.503703637614988,0.4659664420581625,positive,False,0.2886449814289138,0.0158658033638697,1.0,0.3989576629251912,policy_tightening_positive_but_regime_dependent,moderate positive Pearson correlation (0.50); Spearman 0.47; PCA loading signal 0.29; model importance signal 0.02,0.044603047431385656,4.460304743138566
BOC,inflation,core_cpi_yoy,Core CPI (YoY),cpi_headline_mom,Headline CPI (MoM),Inflation,2,72,0.28388914936174164,0.2475030029093261,0.28388914936174164,0.2475030029093261,positive,True,0.1987183854875247,0.0370749923511034,1.0,0.39673940347782977,policy_tightening_positive_but_regime_dependent,weak positive Pearson correlation (0.28); Spearman 0.25; same macro theme; PCA loading signal 0.20; model importance signal 0.04,0.04435504835644538,4.435504835644538
BOC,inflation,core_cpi_yoy,Core CPI (YoY),new_housing_price_index_yoy,New Housing Price Index (YoY),Housing,2,63,0.43104674504042,0.2803614874340536,0.43104674504042,0.2803614874340536,positive,False,0.2951192593948749,0.3768591918177693,0.875,0.390073850299035,policy_tightening_positive_but_regime_dependent,moderate positive Pearson correlation (0.43); Spearman 0.28; PCA loading signal 0.30; model importance signal 0.38,0.04360984651620412,4.360984651620412
BOC,inflation,core_cpi_yoy,Core CPI (YoY),budget_balance,Budget Balance,Growth,3,73,0.3962471564923605,0.43377026994935014,0.3962471564923605,0.43377026994935014,positive,False,0.2516379907446192,0.0160280874216208,1.0,0.35364781413328517,policy_tightening_positive_but_regime_dependent,weak positive Pearson correlation (0.40); Spearman 0.43; PCA loading signal 0.25; model importance signal 0.02,0.039537453954733355,3.9537453954733355
BOC,inflation,core_cpi_yoy,Core CPI (YoY),raw_materials_prices_mom,Raw Materials Prices (MoM),Inflation,3,74,-0.16841827644285806,-0.18725591778163203,0.16841827644285806,0.18725591778163203,negative,True,0.217349393707546,0.0,1.0,0.3470995573565421,disinflationary_or_growth_sensitive,weak negative Pearson correlation (-0.17); Spearman -0.19; same macro theme; PCA loading signal 0.22,0.03880536572896908,3.880536572896908
BOC,inflation,core_cpi_yoy,Core CPI (YoY),imports,Imports,Trade,2,75,0.36717402489569434,0.2472119300714937,0.36717402489569434,0.2472119300714937,positive,False,0.3276857085120525,0.0,1.0,0.3185780210151765,policy_tightening_positive_but_regime_dependent,weak positive Pearson correlation (0.37); Spearman 0.25; PCA loading signal 0.33,0.03561668794064832,3.5616687940648317
BOC,inflation,core_cpi_yoy,Core CPI (YoY),manufacturing_pmi,Manufacturing PMI,Growth,2,49,0.4650362583624404,0.16928543858275305,0.4650362583624404,0.16928543858275305,positive,False,0.3679183096955488,0.0240848424474081,0.6805555555555556,0.31174323974209645,policy_tightening_positive_but_regime_dependent,moderate positive Pearson correlation (0.47); Spearman 0.17; PCA loading signal 0.37; model importance signal 0.02,0.03485256657731584,3.4852566577315844
BOC,inflation,core_cpi_yoy,Core CPI (YoY),retail_sales_yoy,Retail Sales (YoY),Growth,2,73,0.22344016197651512,0.4161154614256712,0.22344016197651512,0.4161154614256712,positive,False,0.1666807823077939,0.019618648864306,1.0,0.2835928520004237,policy_tightening_positive_but_regime_dependent,weak positive Pearson correlation (0.22); Spearman 0.42; PCA loading signal 0.17; model importance signal 0.02,0.031705382812382964,3.1705382812382963
BOC,inflation,core_cpi_yoy,Core CPI (YoY),composite_pmi,Composite PMI,Growth,2,29,-0.42631491832697255,-0.4809562077715981,0.42631491832697255,0.4809562077715981,negative,False,0.0,0.0,0.4027777777777778,0.26436349483018917,disinflationary_or_growth_sensitive,moderate negative Pearson correlation (-0.43); Spearman -0.48,0.02955556088980003,2.955556088980003
BOC,inflation,core_cpi_yoy,Core CPI (YoY),services_pmi,Services PMI,Growth,2,30,-0.4115738641259101,-0.4288918071038311,0.4115738641259101,0.4288918071038311,negative,False,0.0,0.0,0.4166666666666667,0.25091718732520596,disinflationary_or_growth_sensitive,moderate negative Pearson correlation (-0.41); Spearman -0.43,0.02805227784210927,2.8052277842109272
BOC,inflation,core_cpi_yoy,Core CPI (YoY),ppi_mom,PPI (MoM),Inflation,2,72,0.011573848290947014,-0.022562932092865563,0.011573848290947014,0.022562932092865563,positive,True,0.0,0.0313871979063787,1.0,0.2333205645499416,policy_tightening_positive_but_regime_dependent,weak positive Pearson correlation (0.01); Spearman -0.02; same macro theme; model importance signal 0.03,0.0260849939089655,2.60849939089655
BOC,inflation,core_cpi_yoy,Core CPI (YoY),ivey_pmi_sa,Ivey PMI s.a.,Growth,2,72,0.1831523649088956,0.14755735620774557,0.1831523649088956,0.14755735620774557,positive,False,0.2313669662300276,0.0,1.0,0.22610323463562276,policy_tightening_positive_but_regime_dependent,weak positive Pearson correlation (0.18); Spearman 0.15; PCA loading signal 0.23,0.025278104009581154,2.5278104009581153
BOC,inflation,core_cpi_yoy,Core CPI (YoY),new_motor_vehicle_sales,New Motor Vehicle Sales,Growth,3,75,-0.15751269307707655,-0.1913340262531616,0.15751269307707655,0.1913340262531616,negative,False,0.2015110234135562,0.0,1.0,0.2217925973881954,disinflationary_or_growth_sensitive,weak negative Pearson correlation (-0.16); Spearman -0.19; PCA loading signal 0.20,0.02479617929557321,2.479617929557321
BOC,inflation,core_cpi_yoy,Core CPI (YoY),cfib_business_barometer,CFIB Business Barometer,Sentiment,2,54,0.24217975362572525,0.1095976893991808,0.24217975362572525,0.1095976893991808,positive,False,0.2645266355697165,0.0179836417900188,0.75,0.22024547747440593,policy_tightening_positive_but_regime_dependent,weak positive Pearson correlation (0.24); Spearman 0.11; PCA loading signal 0.26; model importance signal 0.02,0.02462321291515371,2.462321291515371
BOC,inflation,core_cpi_yoy,Core CPI (YoY),gdp_mom,GDP (MoM),Growth,1,70,-0.015568763764922616,-0.28085299049681156,0.015568763764922616,0.28085299049681156,negative,False,0.3029410682734002,0.0,0.9722222222222222,0.21259284174027337,disinflationary_or_growth_sensitive,weak negative Pearson correlation (-0.02); Spearman -0.28; PCA loading signal 0.30,0.023767656282597853,2.3767656282597853
BOC,inflation,core_cpi_yoy,Core CPI (YoY),new_housing_price_index_mom,New Housing Price Index (MoM),Housing,2,65,-0.11058939137973872,-0.15583953234387932,0.11058939137973872,0.15583953234387932,negative,False,0.3142587968528253,0.0,0.9027777777777778,0.21118908509398382,disinflationary_or_growth_sensitive,weak negative Pearson correlation (-0.11); Spearman -0.16; PCA loading signal 0.31,0.023610717764817546,2.3610717764817544
BOC,inflation,core_cpi_yoy,Core CPI (YoY),full_time_employment_change,Full-Time Employment Change,Labor,1,76,0.055507957490800036,-0.1065612669151389,0.055507957490800036,0.1065612669151389,positive,False,0.2939698828103399,0.0,1.0,0.19087921953612896,policy_tightening_positive_but_regime_dependent,weak positive Pearson correlation (0.06); Spearman -0.11; PCA loading signal 0.29,0.0213400961400565,2.13400961400565
BOC,inflation,core_cpi_yoy,Core CPI (YoY),part_time_employment_change,Part-Time Employment Change,Labor,1,76,-0.037579695570399696,-0.125617304597972,0.037579695570399696,0.125617304597972,negative,False,0.2598300173507031,0.0,1.0,0.18316677271384088,disinflationary_or_growth_sensitive,weak negative Pearson correlation (-0.04); Spearman -0.13; PCA loading signal 0.26,0.020477852690703183,2.047785269070318
