central_bank_code,left_indicator_key,left_indicator,left_category,left_importance,right_indicator_key,right_indicator,right_category,right_importance,observations,correlation,abs_correlation
BOJ,cpi_headline_yoy,Headline CPI (YoY),Inflation,1,tankan_large_all_industry_capex,Tankan Large All Industry Capex,Sentiment,2,25,0.49638086457032415,0.49638086457032415
BOJ,balance_of_trade,Balance of Trade,Growth,2,imports_yoy,Imports (YoY),Growth,2,76,-0.49615748775200574,0.49615748775200574
RBA,export_price_index_qoq,Export Price Index (QoQ),Inflation,2,import_price_index_qoq,Import Price Index (QoQ),Inflation,2,25,0.49575615365114784,0.49575615365114784
BOJ,reuters_tankan_index,Reuters Tankan Index,Sentiment,2,tankan_large_all_industry_capex,Tankan Large All Industry Capex,Sentiment,2,25,0.4957047274423765,0.4957047274423765
BOE,consumer_confidence,Consumer Confidence,Sentiment,3,core_cpi_yoy,Core CPI (YoY),Inflation,1,75,-0.4950075252279345,0.4950075252279345
FED,consumer_inflation_expectations,Consumer Inflation Expectations,Inflation,2,core_cpi_mom,Core CPI (MoM),Inflation,1,34,0.4949890863053725,0.4949890863053725
FED,challenger_job_cuts,Challenger Job Cuts,Labor,3,import_prices_mom,Import Prices (MoM),Inflation,3,32,-0.49480420989802304,0.49480420989802304
BOE,cpi_headline_yoy,Headline CPI (YoY),Inflation,1,manufacturing_pmi,Manufacturing PMI,Growth,2,28,-0.4946036330703167,0.4946036330703167
BOJ,cpi_index,Consumer Price Index,Inflation,2,tankan_non_manufacturing_outlook,Tankan Non-Manufacturing Outlook,Sentiment,2,24,0.4942579072970215,0.4942579072970215
BOC,core_cpi_mom,Core CPI (MoM),Inflation,2,new_housing_price_index_yoy,New Housing Price Index (YoY),Housing,2,33,0.4937382955180063,0.4937382955180063
BOJ,composite_pmi,S&P Global Composite PMI,Growth,2,household_spending_yoy,Household Spending (YoY),Growth,2,72,0.49364446446745086,0.49364446446745086
BOJ,industrial_production_yoy,Industrial Production (YoY),Growth,2,leading_economic_index,Leading Economic Index,Growth,2,76,0.4933209297692297,0.4933209297692297
BOJ,tankan_large_all_industry_capex,Tankan Large All Industry Capex,Sentiment,2,tankan_large_manufacturing_outlook,Tankan Large Manufacturing Outlook,Sentiment,2,25,0.4931092934755558,0.4931092934755558
ECB,cpi_index,Consumer Price Index,Inflation,2,economic_sentiment,Economic Sentiment,Sentiment,2,50,-0.4930059643144641,0.4930059643144641
FED,ppi_mom,PPI (MoM),Inflation,2,retail_sales_mom,Retail Sales (MoM),Growth,1,32,0.4927239933374742,0.4927239933374742
BOE,ppi_input_mom,PPI Input (MoM),Inflation,3,retail_sales_mom,Retail Sales (MoM),Growth,1,63,0.4926923485137147,0.4926923485137147
BOJ,ppi_yoy,PPI (YoY),Inflation,2,tankan_small_manufacturers_index,Tankan Small Manufacturers Index,Sentiment,2,24,0.49261876208997735,0.49261876208997735
RBA,ai_group_manufacturing_index,Ai Group Manufacturing Index,Growth,3,westpac_consumer_confidence_index,Westpac Consumer Confidence Index,Sentiment,2,69,0.49261037115194567,0.49261037115194567
RBA,balance_of_trade,Balance of Trade,Trade,2,rba_weighted_median_cpi_qoq,RBA Weighted Median CPI (QoQ),Inflation,1,23,0.4925397064317769,0.4925397064317769
