central_bank_code,target_indicator_key,target_indicator,target_category,candidate_indicator_key,candidate_indicator,candidate_category,best_lag_periods,best_lag_correlation,abs_best_lag_correlation,observations,tested_max_lag,best_granger_lag,min_granger_p_value,granger_significant_05
BOE,services_pmi,Services PMI,Growth,composite_pmi,Composite PMI,Growth,0,0.9480665259598818,0.9480665259598818,29,4,4,0.046544003534465216,True
BOJ,core_cpi_yoy,Core CPI (YoY),Inflation,cpi_headline_mom,Headline CPI (MoM),Inflation,6,0.46456286769629873,0.46456286769629873,61,6,5,0.05219808949189658,False
FED,core_pce_price_index_mom,Core PCE Price Index (MoM),Inflation,cpi_index,CPI Index,Inflation,0,-0.5431263839067818,0.5431263839067818,26,4,1,0.052653677337436026,False
FED,core_cpi_mom,Core CPI (MoM),Inflation,export_prices_yoy,Export Prices (YoY),Inflation,0,0.5877112187160677,0.5877112187160677,34,5,2,0.05322212664479945,False
RBA,cpi_headline_yoy,Headline CPI (YoY),Inflation,import_price_index_qoq,Import Price Index (QoQ),Inflation,4,0.7126041224830602,0.7126041224830602,21,4,1,0.05373336804815997,False
FED,ism_manufacturing_pmi,ISM Manufacturing PMI,Growth,ny_empire_state_mfg,NY Empire State Manufacturing Index,Growth,0,0.6707734359394936,0.6707734359394936,26,4,2,0.05933821182092765,False
RBA,cpi_headline_qoq,Headline CPI (QoQ),Inflation,export_price_index_qoq,Export Price Index (QoQ),Inflation,2,0.5329231942562775,0.5329231942562775,22,4,3,0.06049060593266051,False
BOE,core_cpi_yoy,Core CPI (YoY),Inflation,retail_price_index_mom,Retail Price Index (MoM),Inflation,6,0.5359906012123743,0.5359906012123743,66,6,2,0.06310271922467736,False
BOE,retail_sales_yoy,Retail Sales (YoY),Growth,manufacturing_pmi,Manufacturing PMI,Growth,2,0.4282131025211557,0.4282131025211557,25,4,2,0.0660658610753811,False
BOE,cpi_headline_yoy,Headline CPI (YoY),Inflation,retail_price_index_mom,Retail Price Index (MoM),Inflation,4,0.5745572283839658,0.5745572283839658,68,6,3,0.06759556189375202,False
BOE,services_pmi,Services PMI,Growth,industrial_production_yoy,Industrial Production (YoY),Growth,2,0.5394491928463372,0.5394491928463372,25,4,2,0.06964197399108936,False
FED,pce_price_index_mom,PCE Price Index (MoM),Inflation,import_prices_yoy,Import Prices (YoY),Inflation,0,0.7126007434717416,0.7126007434717416,33,5,1,0.07391495517658347,False
BOC,gdp_mom,GDP (MoM),Growth,ivey_pmi_sa,Ivey PMI s.a.,Growth,0,0.5193426799809946,0.5193426799809946,67,6,3,0.09906469685310172,False
FED,core_pce_price_index_mom,Core PCE Price Index (MoM),Inflation,export_prices_yoy,Export Prices (YoY),Inflation,0,0.48799404357974374,0.48799404357974374,36,6,2,0.10228941759538043,False
FED,core_pce_price_index_yoy,Core PCE Price Index (YoY),Inflation,michigan_inflation_expectations,Michigan Inflation Expectations,Inflation,4,0.7141333801533876,0.7141333801533876,28,5,1,0.10780227778099345,False
FED,core_pce_price_index_mom,Core PCE Price Index (MoM),Inflation,export_prices_mom,Export Prices (MoM),Inflation,0,0.527717689150393,0.527717689150393,34,5,3,0.11104069476718915,False
FED,core_pce_price_index_mom,Core PCE Price Index (MoM),Inflation,import_prices_yoy,Import Prices (YoY),Inflation,0,0.5477542294350106,0.5477542294350106,35,5,2,0.11482756027926859,False
ECB,cpi_headline_yoy,Headline HICP (YoY),Inflation,cpi_headline_mom,Headline HICP (MoM),Inflation,4,0.4942886485631454,0.4942886485631454,68,6,1,0.11659070310164919,False
FED,core_pce_price_index_yoy,Core PCE Price Index (YoY),Inflation,core_ppi_mom,Core PPI (MoM),Inflation,5,0.7413964367301645,0.7413964367301645,26,5,5,0.119712923998218,False
FED,nfp,Non-Farm Payrolls,Labor,avg_hourly_earnings_mom,Average Hourly Earnings (MoM),Labor,0,-0.9655433125532876,0.9655433125532876,37,6,4,0.12409319905042665,False
FED,ism_manufacturing_pmi,ISM Manufacturing PMI,Growth,ism_manufacturing_new_orders,ISM Manufacturing New Orders,Growth,0,0.9319330855499426,0.9319330855499426,33,5,5,0.1250000085435927,False
BOE,retail_sales_yoy,Retail Sales (YoY),Growth,industrial_production_yoy,Industrial Production (YoY),Growth,0,0.8122873929128221,0.8122873929128221,73,6,6,0.12591738006704226,False
RBA,rba_weighted_median_cpi_qoq,RBA Weighted Median CPI (QoQ),Inflation,producer_price_index_qoq,Producer Price Index (QoQ),Inflation,0,0.7193628780291152,0.7193628780291152,24,4,2,0.12675949001935735,False
BOE,cpi_headline_yoy,Headline CPI (YoY),Inflation,cpi_headline_mom,Headline CPI (MoM),Inflation,5,0.5209118272392397,0.5209118272392397,63,6,3,0.1293513661065761,False
RBA,cpi_headline_qoq,Headline CPI (QoQ),Inflation,consumer_inflation_expectation,Consumer Inflation Expectation,Inflation,6,-0.6703978627230505,0.6703978627230505,19,4,3,0.13140686084148187,False
FED,retail_sales_mom,Retail Sales (MoM),Growth,ny_empire_state_mfg,NY Empire State Manufacturing Index,Growth,5,-0.516197551319703,0.516197551319703,19,4,2,0.13518397243838526,False
