regime,central_bank_code,primary_category,observations,indicators,mean_normalized,std_normalized,outlier_iqr_count
2024_plus,BOC,Trade,78,3,0.3223356801307503,0.8885369215215989,0
2024_plus,BOE,Growth,314,13,0.0987491109518781,0.627125544862699,0
2024_plus,BOE,Housing,95,5,-0.34037232673983325,0.6393423718256864,0
2024_plus,BOE,Inflation,310,14,-0.28558126236030545,0.6581034993703534,1
2024_plus,BOE,Labor,158,6,0.1010713771756138,0.6852475397832898,0
2024_plus,BOE,Monetary Policy,18,1,0.30333022386760244,0.3787238285982067,0
2024_plus,BOE,Sentiment,66,3,-0.04976705098695093,0.6267078047005394,0
2024_plus,BOJ,Growth,601,27,0.16624047961189384,0.7098424076292004,0
2024_plus,BOJ,Inflation,180,7,0.23881557964511305,0.6555372070674919,0
2024_plus,BOJ,Labor,26,1,-0.5364252817336939,0.5353336573453652,0
2024_plus,BOJ,Monetary Policy,17,1,1.1658809696641,0.9350228180338718,0
2024_plus,BOJ,Sentiment,176,12,0.3616901993475862,0.5191984990371767,0
2024_plus,BOJ,Trade,238,2,0.046854082393373755,1.1297800650812657,5
2024_plus,ECB,Growth,96,7,-0.18195257943241783,0.610177909228284,0
2024_plus,ECB,Inflation,132,5,-0.2423591838128066,0.7931424960659299,2
2024_plus,ECB,Labor,26,1,-0.8376666765908093,0.16879264605552005,0
2024_plus,ECB,Monetary Policy,3,1,0.0,0.0,0
2024_plus,ECB,Sentiment,84,3,-0.030107289159016955,0.8445914254158533,1
2024_plus,FED,Growth,197,14,-0.03796290586811058,0.5040277310765607,0
2024_plus,FED,Housing,12,1,-0.2558437750997076,0.6859067391977844,3
2024_plus,FED,Inflation,281,29,-0.038520524445216635,0.7545210669194079,3
2024_plus,FED,Labor,327,19,-0.2171658593127473,0.3487299845161951,0
2024_plus,FED,Monetary Policy,45,2,0.12555725205271606,0.9890136555356424,0
2024_plus,FED,Sentiment,27,3,-0.209002850547775,0.915693165770406,0
2024_plus,RBA,Growth,323,16,-0.05775197038350131,0.7585016043069539,1
2024_plus,RBA,Housing,73,5,0.07651493761346614,0.6035915533882483,0
2024_plus,RBA,Inflation,206,16,-0.18536285223044535,0.6466921257781255,1
2024_plus,RBA,Labor,108,4,-0.05137793187801712,0.48372931285041515,0
2024_plus,RBA,Monetary Policy,22,1,-0.05773929221351064,0.983508881315347,0
2024_plus,RBA,Sentiment,103,4,-0.05083338820330235,0.7364432896356989,0
2024_plus,RBA,Trade,86,4,-0.3626310668660483,0.8221097116526546,0
2024_plus,RBNZ,Growth,213,10,0.224327917050179,0.8693478087867372,0
2024_plus,RBNZ,Inflation,25,3,-0.5861516488286874,0.2919562841378908,0
2024_plus,RBNZ,Labor,39,5,-0.006330059688977354,0.8145842282393532,0
2024_plus,RBNZ,Monetary Policy,4,1,2.7755575615628914e-17,0.9999999999999998,0
2024_plus,SNB,Growth,86,4,0.14444331024053644,0.6008578925841809,0
2024_plus,SNB,Inflation,96,4,-0.3568666160057132,0.614608830289623,0
2024_plus,SNB,Labor,27,1,0.1832054771751873,0.5932069793678084,0
2024_plus,SNB,Monetary Policy,5,1,2.993161274389422e-14,1.0000000000000153,0
2024_plus,SNB,Sentiment,54,2,-0.23746270719736526,0.5131948632806627,0
