central_bank_code,country,indicator_key,indicator,primary_category,frequency,importance,observations,mean,median,std,min,max,skew,first_date,last_date,outlier_iqr_count,range
RBNZ,NZ,cpi_headline_qoq,Headline CPI (QoQ),Inflation,quarterly,1,26,0.9769230769230769,0.8500000000000001,0.6205208730140782,-0.5,2.2,0.21777293449294216,2019-10-01,2026-01-01,0,2.7
RBNZ,NZ,cpi_headline_yoy,Headline CPI (YoY),Inflation,quarterly,1,26,3.923076923076923,3.2,2.050230756243344,1.4,7.3,0.4546335539539423,2019-10-01,2026-01-01,0,5.9
RBNZ,NZ,employment_change_qoq,Employment Change (QoQ),Labor,quarterly,1,22,0.3409090909090909,0.30000000000000004,0.6463517330142798,-0.8,2.0,0.6177983921131694,2020-01-01,2025-10-01,0,2.8
RBNZ,NZ,labour_cost_index_qoq,Labour Cost Index (QoQ),Labor,quarterly,2,25,0.7,0.7,0.2661453237111885,0.2,1.1,-0.014414369871524994,2019-10-01,2025-10-01,0,0.9000000000000001
RBNZ,NZ,labour_cost_index_yoy,Labour Cost Index (YoY),Labor,quarterly,2,25,2.9360000000000004,2.8,0.907781177744211,1.6,4.5,0.23876909146058864,2019-10-01,2025-10-01,0,2.9
RBNZ,NZ,participation_rate,Labor Force Participation Rate,Labor,quarterly,1,25,70.984,70.9,0.7238093671679074,69.7,72.4,0.22855329363520246,2019-10-01,2025-10-01,0,2.700000000000003
RBNZ,NZ,unemployment_rate,Unemployment Rate,Labor,quarterly,1,25,4.224,4.0,0.7606356990482805,3.2,5.4,0.13665744938008806,2019-10-01,2025-10-01,0,2.2
RBNZ,NZ,official_cash_rate,Official Cash Rate,Monetary Policy,monthly,1,4,2.3125,2.25,0.12500000000000003,2.25,2.5,2.0,2025-10-08,2026-04-08,0,0.25
SNB,CH,balance_of_trade,Balance of Trade,Growth,monthly,2,76,3.385921052631579,3.25,1.0580336196694682,0.5,6.3,0.2518164855001122,2019-12-01,2026-03-01,0,5.8
SNB,CH,gdp_qoq,GDP (QoQ),Growth,quarterly,1,23,0.18695652173913044,0.3,2.466374657786033,-8.2,7.2,-0.8608006471404568,2019-10-01,2025-10-01,5,15.399999999999999
SNB,CH,retail_sales_mom,Retail Sales (MoM),Growth,monthly,2,76,0.16710526315789478,0.1,5.0222807078828176,-14.7,30.7,3.766017517831958,2019-11-01,2026-02-01,6,45.4
SNB,CH,retail_sales_yoy,Retail Sales (YoY),Growth,monthly,2,74,1.2094594594594597,0.75,6.137581713741536,-19.9,35.7,2.512772346542663,2019-12-01,2026-02-01,4,55.6
SNB,CH,cpi_headline_mom,Headline CPI (MoM),Inflation,monthly,2,57,0.11929824561403508,0.1,0.29120353491478623,-0.4,0.7,0.4269244528206031,2020-01-01,2026-03-01,0,1.1
SNB,CH,cpi_headline_yoy,Headline CPI (YoY),Inflation,monthly,1,74,0.9891891891891892,0.8500000000000001,1.2916557885311044,-1.3,3.5,0.304114958312061,2019-12-01,2026-03-01,0,4.8
SNB,CH,producer_import_prices_mom,Producer & Import Prices (MoM),Inflation,monthly,2,68,0.026470588235294114,0.1,0.4836483387131061,-1.3,1.3,-0.02988057304043973,2019-12-01,2026-03-01,0,2.6
SNB,CH,producer_import_prices_yoy,Producer & Import Prices (YoY),Inflation,monthly,2,76,0.3276315789473684,-0.9,3.191430136441886,-4.5,6.9,0.7604857085413207,2019-12-01,2026-03-01,0,11.4
SNB,CH,unemployment_rate,Unemployment Rate,Labor,monthly,2,76,2.6184210526315788,2.6,0.48571885594193687,1.9,3.7,0.2368104020080952,2019-12-01,2026-03-01,0,1.8000000000000003
SNB,CH,m3_money_supply,M3 Money Supply,Monetary Policy,monthly,3,5,1214.1399999999999,1212.0,4.556643501525992,1210.5,1221.3,1.2395477161675343,2025-11-01,2026-03-01,0,10.799999999999955
SNB,CH,consumer_confidence,Consumer Confidence,Sentiment,monthly,2,43,-29.84186046511628,-34.0,13.008499649187971,-46.6,7.8,1.413344137849322,2020-01-01,2026-03-01,2,54.4
SNB,CH,economic_sentiment_index,Economic Sentiment Index,Sentiment,monthly,2,74,-5.30945945945946,-6.2,35.557386258160655,-72.7,72.2,0.20235290685450644,2020-01-01,2026-03-01,0,144.9
