central_bank_code,component,indicator_key,indicator,primary_category,loading,abs_loading
RBA,PC3,balance_of_trade,Balance of Trade,Trade,-0.2868467633675802,0.2868467633675802
RBA,PC3,composite_pmi,Composite PMI,Growth,0.26947219431962705,0.26947219431962705
RBA,PC3,services_pmi,Services PMI,Growth,0.2662468412842586,0.2662468412842586
RBA,PC3,housing_credit_mom,Housing Credit (MoM),Growth,0.261330281806111,0.261330281806111
RBA,PC3,leading_index_mom,Leading Index (MoM),Growth,0.24028225819416468,0.24028225819416468
RBA,PC3,cash_rate,Cash Rate,Monetary Policy,-0.2370602642831837,0.2370602642831837
RBA,PC3,employment_change,Employment Change,Labor,0.2340182163305727,0.2340182163305727
RBA,PC3,current_account,Current Account,Trade,-0.23397678013773743,0.23397678013773743
RBA,PC3,monthly_cpi_indicator,Monthly CPI Indicator,Inflation,-0.21608947493543681,0.21608947493543681
RBA,PC3,part_time_employment_change,Part-Time Employment Change,Labor,0.20466149939905057,0.20466149939905057
RBA,PC3,westpac_consumer_confidence_index,Westpac Consumer Confidence Index,Sentiment,0.18904495785236186,0.18904495785236186
RBA,PC3,nab_business_confidence,NAB Business Confidence,Sentiment,0.17344727658122736,0.17344727658122736
RBNZ,PC1,unemployment_rate,Unemployment Rate,Labor,-0.37848874133532384,0.37848874133532384
RBNZ,PC1,cpi_headline_yoy,Headline CPI (YoY),Inflation,0.3671195894021882,0.3671195894021882
RBNZ,PC1,labour_cost_index_qoq,Labour Cost Index (QoQ),Labor,0.35321267422765024,0.35321267422765024
RBNZ,PC1,cpi_headline_qoq,Headline CPI (QoQ),Inflation,0.3066232593921583,0.3066232593921583
RBNZ,PC1,business_confidence,Business Confidence,Growth,-0.3009365416206782,0.3009365416206782
RBNZ,PC1,consumer_price_index,Consumer Price Index,Inflation,0.29164816242618075,0.29164816242618075
RBNZ,PC1,labour_cost_index_yoy,Labour Cost Index (YoY),Labor,0.28865105436331484,0.28865105436331484
RBNZ,PC1,participation_rate,Labor Force Participation Rate,Labor,0.2805312756910554,0.2805312756910554
RBNZ,PC1,balance_of_trade,Balance of Trade,Growth,-0.22715575783305308,0.22715575783305308
RBNZ,PC1,credit_card_spending_yoy,Credit Card Spending (YoY),Growth,0.1894627330737939,0.1894627330737939
RBNZ,PC1,employment_change_qoq,Employment Change (QoQ),Labor,0.187206024923684,0.187206024923684
RBNZ,PC1,capacity_utilization,Capacity Utilization,Growth,0.12236148436467617,0.12236148436467617
RBNZ,PC2,capacity_utilization,Capacity Utilization,Growth,0.4462103334839835,0.4462103334839835
RBNZ,PC2,imports,Imports,Growth,-0.3937952279188587,0.3937952279188587
RBNZ,PC2,participation_rate,Labor Force Participation Rate,Labor,-0.36468825709212266,0.36468825709212266
RBNZ,PC2,consumer_price_index,Consumer Price Index,Inflation,0.3604406265014578,0.3604406265014578
RBNZ,PC2,exports,Exports,Growth,-0.3221435664934933,0.3221435664934933
RBNZ,PC2,labour_cost_index_yoy,Labour Cost Index (YoY),Labor,-0.3190101702958986,0.3190101702958986
RBNZ,PC2,business_confidence,Business Confidence,Growth,-0.26476302763835274,0.26476302763835274
