ranking_id,date,window_months,currency,country_code,overall_stance_score,overall_stance_label,trend_label,confidence,rank_strongest,rank_weakest,percentile_rank,meter_color,processed_at
23,2020-01-28,2,AUD,AU,-0.148912,neutral,flat,low,1,1,0.000000,orange,2026-04-25T22:57:22.032529+00:00
24,2020-01-28,3,AUD,AU,-0.148912,neutral,flat,low,1,1,0.000000,orange,2026-04-25T22:57:22.032529+00:00
25,2020-01-29,1,AUD,AU,-0.148912,neutral,flat,low,2,1,0.000000,orange,2026-04-25T22:57:22.032529+00:00
26,2020-01-29,1,JPY,JP,0.160956,neutral,flat,low,1,2,1.000000,orange,2026-04-25T22:57:22.032529+00:00
27,2020-01-29,2,AUD,AU,-0.148912,neutral,flat,low,2,1,0.000000,orange,2026-04-25T22:57:22.032529+00:00
28,2020-01-29,2,JPY,JP,0.160956,neutral,flat,low,1,2,1.000000,orange,2026-04-25T22:57:22.032529+00:00
29,2020-01-29,3,AUD,AU,-0.148912,neutral,flat,low,2,1,0.000000,orange,2026-04-25T22:57:22.032529+00:00
30,2020-01-29,3,JPY,JP,0.160956,neutral,flat,low,1,2,1.000000,orange,2026-04-25T22:57:22.032529+00:00
31,2020-01-30,1,AUD,AU,-0.148912,neutral,flat,low,3,1,0.000000,orange,2026-04-25T22:57:22.032529+00:00
32,2020-01-30,1,EUR,EU,0.100233,neutral,flat,low,2,2,0.500000,orange,2026-04-25T22:57:22.032529+00:00
33,2020-01-30,1,JPY,JP,0.222230,neutral,flat,low,1,3,1.000000,orange,2026-04-25T22:57:22.032529+00:00
34,2020-01-30,2,AUD,AU,-0.148912,neutral,flat,low,3,1,0.000000,orange,2026-04-25T22:57:22.032529+00:00
35,2020-01-30,2,EUR,EU,0.100233,neutral,flat,low,2,2,0.500000,orange,2026-04-25T22:57:22.032529+00:00
36,2020-01-30,2,JPY,JP,0.222230,neutral,flat,low,1,3,1.000000,orange,2026-04-25T22:57:22.032529+00:00
37,2020-01-30,3,AUD,AU,-0.148912,neutral,flat,low,3,1,0.000000,orange,2026-04-25T22:57:22.032529+00:00
38,2020-01-30,3,EUR,EU,0.100233,neutral,flat,low,2,2,0.500000,orange,2026-04-25T22:57:22.032529+00:00
39,2020-01-30,3,JPY,JP,0.222230,neutral,flat,low,1,3,1.000000,orange,2026-04-25T22:57:22.032529+00:00
40,2020-01-31,1,CAD,CA,-0.172175,neutral,flat,low,3,1,0.000000,orange,2026-04-25T22:57:22.032529+00:00
41,2020-01-31,1,AUD,AU,-0.148912,neutral,flat,low,2,2,0.500000,orange,2026-04-25T22:57:22.032529+00:00
42,2020-01-31,1,EUR,EU,0.093955,neutral,flat,medium,1,3,1.000000,orange,2026-04-25T22:57:22.032529+00:00
43,2020-01-31,2,CAD,CA,-0.172175,neutral,flat,low,3,1,0.000000,orange,2026-04-25T22:57:22.032529+00:00
44,2020-01-31,2,AUD,AU,-0.148912,neutral,flat,low,2,2,0.500000,orange,2026-04-25T22:57:22.032529+00:00
45,2020-01-31,2,EUR,EU,0.093955,neutral,flat,medium,1,3,1.000000,orange,2026-04-25T22:57:22.032529+00:00
46,2020-01-31,3,CAD,CA,-0.172175,neutral,flat,low,3,1,0.000000,orange,2026-04-25T22:57:22.032529+00:00
47,2020-01-31,3,AUD,AU,-0.148912,neutral,flat,low,2,2,0.500000,orange,2026-04-25T22:57:22.032529+00:00
48,2020-01-31,3,EUR,EU,0.093955,neutral,flat,medium,1,3,1.000000,orange,2026-04-25T22:57:22.032529+00:00
49,2020-02-02,1,AUD,AU,-0.196976,neutral,flat,low,1,1,0.000000,orange,2026-04-25T22:57:22.032529+00:00
50,2020-02-02,2,AUD,AU,-0.196976,neutral,flat,low,1,1,0.000000,orange,2026-04-25T22:57:22.032529+00:00
51,2020-02-02,3,AUD,AU,-0.196976,neutral,flat,low,1,1,0.000000,orange,2026-04-25T22:57:22.032529+00:00
52,2020-02-03,1,AUD,AU,-0.178066,neutral,flat,low,3,1,0.000000,orange,2026-04-25T22:57:22.032529+00:00
53,2020-02-03,1,EUR,EU,-0.047807,neutral,flat,medium,2,2,0.500000,orange,2026-04-25T22:57:22.032529+00:00
54,2020-02-03,1,JPY,JP,0.258995,mildly_bullish,flat,low,1,3,1.000000,green,2026-04-25T22:57:22.032529+00:00
55,2020-02-03,2,AUD,AU,-0.178066,neutral,flat,low,3,1,0.000000,orange,2026-04-25T22:57:22.032529+00:00
56,2020-02-03,2,EUR,EU,-0.047807,neutral,flat,medium,2,2,0.500000,orange,2026-04-25T22:57:22.032529+00:00
57,2020-02-03,2,JPY,JP,0.258995,mildly_bullish,flat,low,1,3,1.000000,green,2026-04-25T22:57:22.032529+00:00
58,2020-02-03,3,AUD,AU,-0.178066,neutral,flat,low,3,1,0.000000,orange,2026-04-25T22:57:22.032529+00:00
59,2020-02-03,3,EUR,EU,-0.047807,neutral,flat,medium,2,2,0.500000,orange,2026-04-25T22:57:22.032529+00:00
60,2020-02-03,3,JPY,JP,0.258995,mildly_bullish,flat,low,1,3,1.000000,green,2026-04-25T22:57:22.032529+00:00
61,2020-02-04,1,AUD,AU,-0.144771,neutral,flat,low,1,1,0.000000,orange,2026-04-25T22:57:22.032529+00:00
62,2020-02-04,2,AUD,AU,-0.144771,neutral,flat,low,1,1,0.000000,orange,2026-04-25T22:57:22.032529+00:00
63,2020-02-04,3,AUD,AU,-0.144771,neutral,flat,low,1,1,0.000000,orange,2026-04-25T22:57:22.032529+00:00
64,2020-02-05,1,CAD,CA,-0.082519,neutral,flat,low,2,1,0.000000,orange,2026-04-25T22:57:22.032529+00:00
65,2020-02-05,1,JPY,JP,0.269558,mildly_bullish,flat,low,1,2,1.000000,green,2026-04-25T22:57:22.032529+00:00
66,2020-02-05,2,CAD,CA,-0.082519,neutral,flat,low,2,1,0.000000,orange,2026-04-25T22:57:22.032529+00:00
67,2020-02-05,2,JPY,JP,0.269558,mildly_bullish,flat,low,1,2,1.000000,green,2026-04-25T22:57:22.032529+00:00
68,2020-02-05,3,CAD,CA,-0.082519,neutral,flat,low,2,1,0.000000,orange,2026-04-25T22:57:22.032529+00:00
69,2020-02-05,3,JPY,JP,0.269558,mildly_bullish,flat,low,1,2,1.000000,green,2026-04-25T22:57:22.032529+00:00
70,2020-02-06,1,AUD,AU,-0.114013,neutral,flat,low,2,1,0.000000,orange,2026-04-25T22:57:22.032529+00:00
71,2020-02-06,1,JPY,JP,0.267822,mildly_bullish,flat,low,1,2,1.000000,green,2026-04-25T22:57:22.032529+00:00
72,2020-02-06,2,AUD,AU,-0.114013,neutral,flat,low,2,1,0.000000,orange,2026-04-25T22:57:22.032529+00:00
73,2020-02-06,2,JPY,JP,0.267822,mildly_bullish,flat,low,1,2,1.000000,green,2026-04-25T22:57:22.032529+00:00
74,2020-02-06,3,AUD,AU,-0.114013,neutral,flat,low,2,1,0.000000,orange,2026-04-25T22:57:22.032529+00:00
75,2020-02-06,3,JPY,JP,0.267822,mildly_bullish,flat,low,1,2,1.000000,green,2026-04-25T22:57:22.032529+00:00
76,2020-02-07,1,CAD,CA,-0.175619,neutral,flat,medium,3,1,0.000000,orange,2026-04-25T22:57:22.032529+00:00
77,2020-02-07,1,GBP,UK,-0.166110,neutral,flat,low,2,2,0.500000,orange,2026-04-25T22:57:22.032529+00:00
78,2020-02-07,1,JPY,JP,0.238832,neutral,flat,low,1,3,1.000000,orange,2026-04-25T22:57:22.032529+00:00
79,2020-02-07,2,CAD,CA,-0.175619,neutral,flat,low,3,1,0.000000,orange,2026-04-25T22:57:22.032529+00:00
80,2020-02-07,2,GBP,UK,-0.166110,neutral,flat,low,2,2,0.500000,orange,2026-04-25T22:57:22.032529+00:00
81,2020-02-07,2,JPY,JP,0.238832,neutral,flat,low,1,3,1.000000,orange,2026-04-25T22:57:22.032529+00:00
82,2020-02-07,3,CAD,CA,-0.175619,neutral,flat,low,3,1,0.000000,orange,2026-04-25T22:57:22.032529+00:00
83,2020-02-07,3,GBP,UK,-0.166110,neutral,flat,low,2,2,0.500000,orange,2026-04-25T22:57:22.032529+00:00
84,2020-02-07,3,JPY,JP,0.238832,neutral,flat,low,1,3,1.000000,orange,2026-04-25T22:57:22.032529+00:00
85,2020-02-09,1,JPY,JP,2.623601,bullish,flat,low,1,1,0.000000,green,2026-04-25T22:57:22.032529+00:00
86,2020-02-09,2,JPY,JP,2.623601,bullish,flat,low,1,1,0.000000,green,2026-04-25T22:57:22.032529+00:00
87,2020-02-09,3,JPY,JP,2.623601,bullish,flat,low,1,1,0.000000,green,2026-04-25T22:57:22.032529+00:00
88,2020-02-10,1,CHF,CH,-0.140661,neutral,flat,low,2,1,0.000000,orange,2026-04-25T22:57:22.032529+00:00
89,2020-02-10,1,JPY,JP,4.517877,bullish,flat,low,1,2,1.000000,green,2026-04-25T22:57:22.032529+00:00
90,2020-02-10,2,CHF,CH,-0.140661,neutral,flat,low,2,1,0.000000,orange,2026-04-25T22:57:22.032529+00:00
91,2020-02-10,2,JPY,JP,4.517877,bullish,flat,low,1,2,1.000000,green,2026-04-25T22:57:22.032529+00:00
92,2020-02-10,3,CHF,CH,-0.140661,neutral,flat,low,2,1,0.000000,orange,2026-04-25T22:57:22.032529+00:00
93,2020-02-10,3,JPY,JP,4.517877,bullish,flat,low,1,2,1.000000,green,2026-04-25T22:57:22.032529+00:00
94,2020-02-11,1,AUD,AU,-0.112558,neutral,flat,low,2,1,0.000000,orange,2026-04-25T22:57:22.032529+00:00
95,2020-02-11,1,GBP,UK,0.190476,neutral,flat,low,1,2,1.000000,orange,2026-04-25T22:57:22.032529+00:00
96,2020-02-11,2,AUD,AU,-0.112558,neutral,flat,low,2,1,0.000000,orange,2026-04-25T22:57:22.032529+00:00
97,2020-02-11,2,GBP,UK,0.190476,neutral,flat,low,1,2,1.000000,orange,2026-04-25T22:57:22.032529+00:00
98,2020-02-11,3,AUD,AU,-0.112558,neutral,flat,low,2,1,0.000000,orange,2026-04-25T22:57:22.032529+00:00
99,2020-02-11,3,GBP,UK,0.190476,neutral,flat,low,1,2,1.000000,orange,2026-04-25T22:57:22.032529+00:00
100,2020-02-12,1,JPY,JP,3.236085,bullish,flat,medium,1,1,0.000000,green,2026-04-25T22:57:22.032529+00:00
101,2020-02-12,2,JPY,JP,3.236085,bullish,flat,medium,1,1,0.000000,green,2026-04-25T22:57:22.032529+00:00
102,2020-02-12,3,JPY,JP,3.236085,bullish,flat,medium,1,1,0.000000,green,2026-04-25T22:57:22.032529+00:00
103,2020-02-13,1,AUD,AU,-0.111368,neutral,flat,low,2,1,0.000000,orange,2026-04-25T22:57:22.032529+00:00
104,2020-02-13,1,JPY,JP,3.880052,bullish,flat,medium,1,2,1.000000,green,2026-04-25T22:57:22.032529+00:00
105,2020-02-13,2,AUD,AU,-0.111368,neutral,flat,low,2,1,0.000000,orange,2026-04-25T22:57:22.032529+00:00
106,2020-02-13,2,JPY,JP,3.880052,bullish,flat,medium,1,2,1.000000,green,2026-04-25T22:57:22.032529+00:00
107,2020-02-13,3,AUD,AU,-0.111368,neutral,flat,low,2,1,0.000000,orange,2026-04-25T22:57:22.032529+00:00
108,2020-02-13,3,JPY,JP,3.880052,bullish,flat,medium,1,2,1.000000,green,2026-04-25T22:57:22.032529+00:00
109,2020-02-14,1,CAD,CA,-0.195629,neutral,flat,high,4,1,0.000000,orange,2026-04-25T22:57:22.032529+00:00
110,2020-02-14,1,CHF,CH,-0.140661,neutral,flat,medium,3,2,0.333333,orange,2026-04-25T22:57:22.032529+00:00
111,2020-02-14,1,EUR,EU,0.085343,neutral,flat,high,2,3,0.666667,orange,2026-04-25T22:57:22.032529+00:00
112,2020-02-14,1,JPY,JP,4.422982,bullish,flat,medium,1,4,1.000000,green,2026-04-25T22:57:22.032529+00:00
113,2020-02-14,2,CAD,CA,-0.195629,neutral,flat,low,4,1,0.000000,orange,2026-04-25T22:57:22.032529+00:00
114,2020-02-14,2,CHF,CH,-0.140661,neutral,flat,low,3,2,0.333333,orange,2026-04-25T22:57:22.032529+00:00
115,2020-02-14,2,EUR,EU,0.085343,neutral,flat,medium,2,3,0.666667,orange,2026-04-25T22:57:22.032529+00:00
116,2020-02-14,2,JPY,JP,4.422982,bullish,flat,medium,1,4,1.000000,green,2026-04-25T22:57:22.032529+00:00
117,2020-02-14,3,CAD,CA,-0.195629,neutral,flat,low,4,1,0.000000,orange,2026-04-25T22:57:22.032529+00:00
118,2020-02-14,3,CHF,CH,-0.140661,neutral,flat,low,3,2,0.333333,orange,2026-04-25T22:57:22.032529+00:00
119,2020-02-14,3,EUR,EU,0.085343,neutral,flat,medium,2,3,0.666667,orange,2026-04-25T22:57:22.032529+00:00
120,2020-02-14,3,JPY,JP,4.422982,bullish,flat,medium,1,4,1.000000,green,2026-04-25T22:57:22.032529+00:00
121,2020-02-16,1,JPY,JP,4.886857,bullish,flat,medium,1,1,0.000000,green,2026-04-25T22:57:22.032529+00:00
122,2020-02-16,2,JPY,JP,4.886857,bullish,flat,medium,1,1,0.000000,green,2026-04-25T22:57:22.032529+00:00
123,2020-02-16,3,JPY,JP,4.886857,bullish,flat,medium,1,1,0.000000,green,2026-04-25T22:57:22.032529+00:00
124,2020-02-17,1,JPY,JP,5.283121,bullish,flat,medium,1,1,0.000000,green,2026-04-25T22:57:22.032529+00:00
125,2020-02-17,2,JPY,JP,5.283121,bullish,flat,medium,1,1,0.000000,green,2026-04-25T22:57:22.032529+00:00
126,2020-02-17,3,JPY,JP,5.283121,bullish,flat,medium,1,1,0.000000,green,2026-04-25T22:57:22.032529+00:00
127,2020-02-18,1,CAD,CA,-0.173009,neutral,flat,high,4,1,0.000000,orange,2026-04-25T22:57:22.032529+00:00
128,2020-02-18,1,GBP,UK,0.076578,neutral,flat,medium,3,2,0.333333,orange,2026-04-25T22:57:22.032529+00:00
129,2020-02-18,1,EUR,EU,0.155657,neutral,flat,high,2,3,0.666667,orange,2026-04-25T22:57:22.032529+00:00
130,2020-02-18,1,JPY,JP,5.589805,bullish,flat,medium,1,4,1.000000,green,2026-04-25T22:57:22.032529+00:00
131,2020-02-18,2,CAD,CA,-0.173009,neutral,flat,medium,4,1,0.000000,orange,2026-04-25T22:57:22.032529+00:00
132,2020-02-18,2,GBP,UK,0.076578,neutral,flat,low,3,2,0.333333,orange,2026-04-25T22:57:22.032529+00:00
133,2020-02-18,2,EUR,EU,0.153485,neutral,flat,medium,2,3,0.666667,orange,2026-04-25T22:57:22.032529+00:00
134,2020-02-18,2,JPY,JP,5.589805,bullish,flat,medium,1,4,1.000000,green,2026-04-25T22:57:22.032529+00:00
135,2020-02-18,3,CAD,CA,-0.173009,neutral,flat,medium,4,1,0.000000,orange,2026-04-25T22:57:22.032529+00:00
136,2020-02-18,3,GBP,UK,0.076578,neutral,flat,low,3,2,0.333333,orange,2026-04-25T22:57:22.032529+00:00
137,2020-02-18,3,EUR,EU,0.153485,neutral,flat,medium,2,3,0.666667,orange,2026-04-25T22:57:22.032529+00:00
138,2020-02-18,3,JPY,JP,5.589805,bullish,flat,medium,1,4,1.000000,green,2026-04-25T22:57:22.032529+00:00
139,2020-02-19,1,CAD,CA,-0.170289,neutral,flat,high,5,1,0.000000,orange,2026-04-25T22:57:22.032529+00:00
140,2020-02-19,1,AUD,AU,-0.110376,neutral,flat,low,4,2,0.250000,orange,2026-04-25T22:57:22.032529+00:00
141,2020-02-19,1,GBP,UK,0.164420,neutral,flat,high,3,3,0.500000,orange,2026-04-25T22:57:22.032529+00:00
142,2020-02-19,1,EUR,EU,0.190949,neutral,flat,high,2,4,0.750000,orange,2026-04-25T22:57:22.032529+00:00
143,2020-02-19,1,JPY,JP,5.860409,bullish,flat,medium,1,5,1.000000,green,2026-04-25T22:57:22.032529+00:00
144,2020-02-19,2,CAD,CA,-0.170289,neutral,flat,medium,5,1,0.000000,orange,2026-04-25T22:57:22.032529+00:00
145,2020-02-19,2,AUD,AU,-0.110376,neutral,flat,low,4,2,0.250000,orange,2026-04-25T22:57:22.032529+00:00
146,2020-02-19,2,GBP,UK,0.164420,neutral,flat,low,3,3,0.500000,orange,2026-04-25T22:57:22.032529+00:00
147,2020-02-19,2,EUR,EU,0.187887,neutral,flat,medium,2,4,0.750000,orange,2026-04-25T22:57:22.032529+00:00
148,2020-02-19,2,JPY,JP,5.860409,bullish,flat,medium,1,5,1.000000,green,2026-04-25T22:57:22.032529+00:00
149,2020-02-19,3,CAD,CA,-0.170289,neutral,flat,medium,5,1,0.000000,orange,2026-04-25T22:57:22.032529+00:00
150,2020-02-19,3,AUD,AU,-0.110376,neutral,flat,low,4,2,0.250000,orange,2026-04-25T22:57:22.032529+00:00
151,2020-02-19,3,GBP,UK,0.164420,neutral,flat,low,3,3,0.500000,orange,2026-04-25T22:57:22.032529+00:00
152,2020-02-19,3,EUR,EU,0.187887,neutral,flat,medium,2,4,0.750000,orange,2026-04-25T22:57:22.032529+00:00
153,2020-02-19,3,JPY,JP,5.860409,bullish,flat,medium,1,5,1.000000,green,2026-04-25T22:57:22.032529+00:00
154,2020-02-20,1,AUD,AU,-0.262662,mildly_bearish,flat,medium,6,1,0.000000,red,2026-04-25T22:57:22.032529+00:00
155,2020-02-20,1,CAD,CA,-0.168045,neutral,flat,high,5,2,0.200000,orange,2026-04-25T22:57:22.032529+00:00
156,2020-02-20,1,CHF,CH,-0.140661,neutral,flat,medium,4,3,0.400000,orange,2026-04-25T22:57:22.032529+00:00
157,2020-02-20,1,GBP,UK,0.093254,neutral,flat,high,3,4,0.600000,orange,2026-04-25T22:57:22.032529+00:00
158,2020-02-20,1,EUR,EU,0.216577,neutral,flat,high,2,5,0.800000,orange,2026-04-25T22:57:22.032529+00:00
159,2020-02-20,1,JPY,JP,6.083695,bullish,flat,medium,1,6,1.000000,green,2026-04-25T22:57:22.032529+00:00
160,2020-02-20,2,AUD,AU,-0.262662,mildly_bearish,flat,medium,6,1,0.000000,red,2026-04-25T22:57:22.032529+00:00
161,2020-02-20,2,CAD,CA,-0.168045,neutral,flat,medium,5,2,0.200000,orange,2026-04-25T22:57:22.032529+00:00
162,2020-02-20,2,CHF,CH,-0.140661,neutral,flat,low,4,3,0.400000,orange,2026-04-25T22:57:22.032529+00:00
163,2020-02-20,2,GBP,UK,0.093254,neutral,flat,low,3,4,0.600000,orange,2026-04-25T22:57:22.032529+00:00
164,2020-02-20,2,EUR,EU,0.212819,neutral,flat,medium,2,5,0.800000,orange,2026-04-25T22:57:22.032529+00:00
165,2020-02-20,2,JPY,JP,6.083695,bullish,flat,medium,1,6,1.000000,green,2026-04-25T22:57:22.032529+00:00
166,2020-02-20,3,AUD,AU,-0.262662,mildly_bearish,flat,medium,6,1,0.000000,red,2026-04-25T22:57:22.032529+00:00
167,2020-02-20,3,CAD,CA,-0.168045,neutral,flat,medium,5,2,0.200000,orange,2026-04-25T22:57:22.032529+00:00
168,2020-02-20,3,CHF,CH,-0.140661,neutral,flat,low,4,3,0.400000,orange,2026-04-25T22:57:22.032529+00:00
169,2020-02-20,3,GBP,UK,0.093254,neutral,flat,low,3,4,0.600000,orange,2026-04-25T22:57:22.032529+00:00
170,2020-02-20,3,EUR,EU,0.212819,neutral,flat,medium,2,5,0.800000,orange,2026-04-25T22:57:22.032529+00:00
171,2020-02-20,3,JPY,JP,6.083695,bullish,flat,medium,1,6,1.000000,green,2026-04-25T22:57:22.032529+00:00
172,2020-02-21,1,CAD,CA,-0.162823,neutral,flat,high,4,1,0.000000,orange,2026-04-25T22:57:22.032529+00:00
173,2020-02-21,1,GBP,UK,0.047670,neutral,flat,high,3,2,0.333333,orange,2026-04-25T22:57:22.032529+00:00
174,2020-02-21,1,EUR,EU,0.268078,mildly_bullish,flat,high,2,3,0.666667,green,2026-04-25T22:57:22.032529+00:00
175,2020-02-21,1,JPY,JP,6.282986,bullish,flat,medium,1,4,1.000000,green,2026-04-25T22:57:22.032529+00:00
176,2020-02-21,2,CAD,CA,-0.162823,neutral,flat,medium,4,1,0.000000,orange,2026-04-25T22:57:22.032529+00:00
177,2020-02-21,2,GBP,UK,0.047670,neutral,flat,medium,3,2,0.333333,orange,2026-04-25T22:57:22.032529+00:00
178,2020-02-21,2,EUR,EU,0.247079,neutral,flat,high,2,3,0.666667,orange,2026-04-25T22:57:22.032529+00:00
179,2020-02-21,2,JPY,JP,6.282986,bullish,flat,medium,1,4,1.000000,green,2026-04-25T22:57:22.032529+00:00
180,2020-02-21,3,CAD,CA,-0.162823,neutral,flat,medium,4,1,0.000000,orange,2026-04-25T22:57:22.032529+00:00
181,2020-02-21,3,GBP,UK,0.047670,neutral,flat,medium,3,2,0.333333,orange,2026-04-25T22:57:22.032529+00:00
182,2020-02-21,3,EUR,EU,0.247079,neutral,flat,high,2,3,0.666667,orange,2026-04-25T22:57:22.032529+00:00
183,2020-02-21,3,JPY,JP,6.282986,bullish,flat,medium,1,4,1.000000,green,2026-04-25T22:57:22.032529+00:00
184,2020-02-24,1,CAD,CA,-0.152503,neutral,flat,high,1,1,0.000000,orange,2026-04-25T22:57:22.032529+00:00
185,2020-02-24,2,CAD,CA,-0.152503,neutral,flat,medium,1,1,0.000000,orange,2026-04-25T22:57:22.032529+00:00
186,2020-02-24,3,CAD,CA,-0.152503,neutral,flat,medium,1,1,0.000000,orange,2026-04-25T22:57:22.032529+00:00
187,2020-02-25,1,JPY,JP,11.118208,bullish,improving,medium,1,1,0.000000,green,2026-04-25T22:57:22.032529+00:00
188,2020-02-25,2,JPY,JP,6.468581,bullish,flat,medium,1,1,0.000000,green,2026-04-25T22:57:22.032529+00:00
189,2020-02-25,3,JPY,JP,6.468581,bullish,flat,medium,1,1,0.000000,green,2026-04-25T22:57:22.032529+00:00
190,2020-02-26,1,CHF,CH,-0.140661,neutral,flat,medium,1,1,0.000000,orange,2026-04-25T22:57:22.032529+00:00
191,2020-02-26,2,CHF,CH,-0.140661,neutral,flat,low,1,1,0.000000,orange,2026-04-25T22:57:22.032529+00:00
192,2020-02-26,3,CHF,CH,-0.140661,neutral,flat,low,1,1,0.000000,orange,2026-04-25T22:57:22.032529+00:00
193,2020-02-27,1,EUR,EU,0.382547,mildly_bullish,improving,high,3,1,0.000000,green,2026-04-25T22:57:22.032529+00:00
194,2020-02-27,1,NZD,NZ,0.641240,mildly_bullish,flat,low,2,2,0.500000,green,2026-04-25T22:57:22.032529+00:00
195,2020-02-27,1,JPY,JP,8.879035,bullish,improving,high,1,3,1.000000,green,2026-04-25T22:57:22.032529+00:00
196,2020-02-27,2,EUR,EU,0.277337,mildly_bullish,flat,high,3,1,0.000000,green,2026-04-25T22:57:22.032529+00:00
197,2020-02-27,2,NZD,NZ,0.641240,mildly_bullish,flat,low,2,2,0.500000,green,2026-04-25T22:57:22.032529+00:00
198,2020-02-27,2,JPY,JP,4.379468,bullish,flat,high,1,3,1.000000,green,2026-04-25T22:57:22.032529+00:00
199,2020-02-27,3,EUR,EU,0.277337,mildly_bullish,flat,high,3,1,0.000000,green,2026-04-25T22:57:22.032529+00:00
200,2020-02-27,3,NZD,NZ,0.641240,mildly_bullish,flat,low,2,2,0.500000,green,2026-04-25T22:57:22.032529+00:00
201,2020-02-27,3,JPY,JP,4.379468,bullish,flat,high,1,3,1.000000,green,2026-04-25T22:57:22.032529+00:00
202,2020-02-28,1,AUD,AU,-0.457274,mildly_bearish,weakening,medium,4,1,0.000000,red,2026-04-25T22:57:22.032529+00:00
203,2020-02-28,1,CHF,CH,-0.140661,neutral,flat,medium,3,2,0.333333,orange,2026-04-25T22:57:22.032529+00:00
204,2020-02-28,1,CAD,CA,-0.004564,neutral,flat,high,2,3,0.666667,orange,2026-04-25T22:57:22.032529+00:00
205,2020-02-28,1,GBP,UK,0.018066,neutral,flat,high,1,4,1.000000,orange,2026-04-25T22:57:22.032529+00:00
206,2020-02-28,2,AUD,AU,-0.337811,mildly_bearish,flat,medium,4,1,0.000000,red,2026-04-25T22:57:22.032529+00:00
207,2020-02-28,2,CHF,CH,-0.140661,neutral,flat,low,3,2,0.333333,orange,2026-04-25T22:57:22.032529+00:00
208,2020-02-28,2,CAD,CA,-0.004564,neutral,flat,medium,2,3,0.666667,orange,2026-04-25T22:57:22.032529+00:00
209,2020-02-28,2,GBP,UK,0.018066,neutral,flat,medium,1,4,1.000000,orange,2026-04-25T22:57:22.032529+00:00
210,2020-02-28,3,AUD,AU,-0.337811,mildly_bearish,flat,medium,4,1,0.000000,red,2026-04-25T22:57:22.032529+00:00
211,2020-02-28,3,CHF,CH,-0.140661,neutral,flat,low,3,2,0.333333,orange,2026-04-25T22:57:22.032529+00:00
212,2020-02-28,3,CAD,CA,-0.004564,neutral,flat,medium,2,3,0.666667,orange,2026-04-25T22:57:22.032529+00:00
213,2020-02-28,3,GBP,UK,0.018066,neutral,flat,medium,1,4,1.000000,orange,2026-04-25T22:57:22.032529+00:00
